# Team 0: PlayerAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,3,"['9h', '7h']","['2d', '9s']","['3d', '7d']",,,1,1
0,Pre-Flop,1,0,0,DISCARD,0,"['9h', '7h']","['2d', '9s']","['3d', '7d']",,,2,2
0,Pre-Flop,1,0,0,CALL,0,"['9h', '7h']","['6h', '9s']","['3d', '7d']",,2d,2,2
0,Flop,0,0,0,RAISE,14,"['9h', '7h']","['6h', '9s']","['3d', '7d', '6s']",,2d,5,5
0,Flop,1,0,0,FOLD,0,"['9h', '7h']","['6h', '9s']","['3d', '7d', '6s']",,2d,5,5
1,Pre-Flop,1,5,-5,DISCARD,0,"['2s', '4s']","['2d', '5s']","['3d', '6h']",,,1,1
1,Pre-Flop,1,5,-5,RAISE,3,"['2s', '4s']","['8s', '5s']","['3d', '6h']",,2d,1,1
1,Pre-Flop,0,5,-5,CALL,0,"['2s', '4s']","['8s', '5s']","['3d', '6h']",,2d,2,2
1,Flop,1,5,-5,CHECK,0,"['2s', '4s']","['8s', '5s']","['3d', '6h', '3s']",,2d,5,5
1,Flop,0,5,-5,CHECK,0,"['2s', '4s']","['8s', '5s']","['3d', '6h', '3s']",,2d,5,5
1,Turn,1,5,-5,CHECK,0,"['2s', '4s']","['8s', '5s']","['3d', '6h', '3s', '7d']",,2d,5,5
1,Turn,0,5,-5,CHECK,0,"['2s', '4s']","['8s', '5s']","['3d', '6h', '3s', '7d']",,2d,5,5
1,River,1,5,-5,CHECK,0,"['2s', '4s']","['8s', '5s']","['3d', '6h', '3s', '7d', 'Ad']",,2d,5,5
1,River,0,5,-5,CHECK,0,"['2s', '4s']","['8s', '5s']","['3d', '6h', '3s', '7d', 'Ad']",,2d,5,5
2,Pre-Flop,0,0,0,CALL,0,"['2d', '3s']","['6d', '4s']","['5s', '4d']",,,1,1
2,Pre-Flop,1,0,0,DISCARD,0,"['2d', '3s']","['6d', '4s']","['5s', '4d']",,,2,2
2,Pre-Flop,1,0,0,RAISE,5,"['2d', '3s']","['6d', '9d']","['5s', '4d']",,4s,2,2
2,Pre-Flop,0,0,0,CALL,0,"['2d', '3s']","['6d', '9d']","['5s', '4d']",,4s,2,2
2,Flop,0,0,0,RAISE,31,"['2d', '3s']","['6d', '9d']","['5s', '4d', '2h']",,4s,7,7
2,Flop,1,0,0,FOLD,0,"['2d', '3s']","['6d', '9d']","['5s', '4d', '2h']",,4s,7,7
3,Pre-Flop,1,7,-7,RAISE,4,"['6d', '5h']","['7s', '7h']","['2h', '8d']",,,1,1
3,Pre-Flop,0,7,-7,CALL,0,"['6d', '5h']","['7s', '7h']","['2h', '8d']",,,2,2
3,Flop,1,7,-7,RAISE,14,"['6d', '5h']","['7s', '7h']","['2h', '8d', 'Ah']",,,6,6
3,Flop,0,7,-7,DISCARD,0,"['6d', '5h']","['7s', '7h']","['2h', '8d', 'Ah']",,,6,6
3,Flop,0,7,-7,CALL,0,"['3d', '5h']","['7s', '7h']","['2h', '8d', 'Ah']",6d,,6,6
3,Turn,1,7,-7,RAISE,80,"['3d', '5h']","['7s', '7h']","['2h', '8d', 'Ah', '8h']",6d,,20,20
3,Turn,0,7,-7,FOLD,0,"['3d', '5h']","['7s', '7h']","['2h', '8d', 'Ah', '8h']",6d,,20,20
4,Pre-Flop,0,-13,13,RAISE,4,"['8h', '8d']","['As', '2s']","['5d', '9d']",,,1,1
4,Pre-Flop,1,-13,13,CALL,0,"['8h', '8d']","['As', '2s']","['5d', '9d']",,,2,2
4,Flop,0,-13,13,RAISE,42,"['8h', '8d']","['As', '2s']","['5d', '9d', '9s']",,,6,6
