# Team 0: PlayerAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,0,"['2d', '8h']","['Ah', '2s']","['Ad', 'As']",,,1,1
0,Pre-Flop,1,0,0,DISCARD,0,"['2d', '8h']","['Ah', '2s']","['Ad', 'As']",,,2,2
0,Pre-Flop,1,0,0,RAISE,6,"['2d', '8h']","['Ah', '8d']","['Ad', 'As']",,2s,2,2
0,Pre-Flop,0,0,0,FOLD,0,"['2d', '8h']","['Ah', '8d']","['Ad', 'As']",,2s,2,2
1,Pre-Flop,1,-2,2,DISCARD,0,"['2d', 'Ad']","['9h', '2h']","['5d', '9s']",,,1,1
1,Pre-Flop,1,-2,2,RAISE,3,"['2d', 'Ad']","['9h', '7h']","['5d', '9s']",,2h,1,1
1,Pre-Flop,0,-2,2,CALL,0,"['2d', 'Ad']","['9h', '7h']","['5d', '9s']",,2h,2,2
1,Flop,1,-2,2,RAISE,16,"['2d', 'Ad']","['9h', '7h']","['5d', '9s', '2s']",,2h,5,5
1,Flop,0,-2,2,CALL,0,"['2d', 'Ad']","['9h', '7h']","['5d', '9s', '2s']",,2h,5,5
1,Turn,1,-2,2,CHECK,0,"['2d', 'Ad']","['9h', '7h']","['5d', '9s', '2s', '4s']",,2h,21,21
1,Turn,0,-2,2,CHECK,0,"['2d', 'Ad']","['9h', '7h']","['5d', '9s', '2s', '4s']",,2h,21,21
1,River,1,-2,2,CHECK,0,"['2d', 'Ad']","['9h', '7h']","['5d', '9s', '2s', '4s', '8s']",,2h,21,21
1,River,0,-2,2,CHECK,0,"['2d', 'Ad']","['9h', '7h']","['5d', '9s', '2s', '4s', '8s']",,2h,21,21
2,Pre-Flop,0,-23,23,RAISE,3,"['As', '9h']","['4h', '4s']","['5d', '9s']",,,1,1
2,Pre-Flop,1,-23,23,DISCARD,0,"['As', '9h']","['4h', '4s']","['5d', '9s']",,,2,2
2,Pre-Flop,1,-23,23,CALL,0,"['As', '9h']","['4h', '7d']","['5d', '9s']",,4s,2,2
