# Team 0: Flushed Faces, Team 1: Quantum Bluff
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,DISCARD,0,"['2h', '6h']","['2s', '8s']","['9h', 'Ad']",,,1,1
0,Pre-Flop,0,0,0,CALL,0,"['3d', '6h']","['2s', '8s']","['9h', 'Ad']",2h,,1,1
0,Pre-Flop,1,0,0,RAISE,2,"['3d', '6h']","['2s', '8s']","['9h', 'Ad']",2h,,2,2
0,Pre-Flop,0,0,0,CALL,0,"['3d', '6h']","['2s', '8s']","['9h', 'Ad']",2h,,2,2
0,Flop,0,0,0,CHECK,0,"['3d', '6h']","['2s', '8s']","['9h', 'Ad', '7d']",2h,,4,4
0,Flop,1,0,0,DISCARD,0,"['3d', '6h']","['2s', '8s']","['9h', 'Ad', '7d']",2h,,4,4
0,Flop,1,0,0,CHECK,0,"['3d', '6h']","['4s', '8s']","['9h', 'Ad', '7d']",2h,2s,4,4
0,Turn,0,0,0,CHECK,0,"['3d', '6h']","['4s', '8s']","['9h', 'Ad', '7d', '5d']",2h,2s,4,4
0,Turn,1,0,0,CHECK,0,"['3d', '6h']","['4s', '8s']","['9h', 'Ad', '7d', '5d']",2h,2s,4,4
0,River,0,0,0,RAISE,96,"['3d', '6h']","['4s', '8s']","['9h', 'Ad', '7d', '5d', '2d']",2h,2s,4,4
0,River,1,0,0,FOLD,0,"['3d', '6h']","['4s', '8s']","['9h', 'Ad', '7d', '5d', '2d']",2h,2s,4,4
1,Pre-Flop,1,4,-4,RAISE,2,"['As', '7h']","['7s', '3h']","['5h', '4d']",,,1,1
1,Pre-Flop,0,4,-4,CALL,0,"['As', '7h']","['7s', '3h']","['5h', '4d']",,,2,2
1,Flop,1,4,-4,RAISE,4,"['As', '7h']","['7s', '3h']","['5h', '4d', '6d']",,,4,4
1,Flop,0,4,-4,CALL,0,"['As', '7h']","['7s', '3h']","['5h', '4d', '6d']",,,4,4
1,Turn,1,4,-4,RAISE,12,"['As', '7h']","['7s', '3h']","['5h', '4d', '6d', '8s']",,,8,8
1,Turn,0,4,-4,RAISE,80,"['As', '7h']","['7s', '3h']","['5h', '4d', '6d', '8s']",,,8,8
1,Turn,1,4,-4,FOLD,0,"['As', '7h']","['7s', '3h']","['5h', '4d', '6d', '8s']",,,20,20
2,Pre-Flop,0,24,-24,DISCARD,0,"['7s', '4d']","['2d', '2s']","['7h', '6s']",,,1,1
2,Pre-Flop,0,24,-24,CALL,0,"['7s', '6d']","['2d', '2s']","['7h', '6s']",4d,,1,1
2,Pre-Flop,1,24,-24,CHECK,0,"['7s', '6d']","['2d', '2s']","['7h', '6s']",4d,,2,2
2,Flop,0,24,-24,CHECK,0,"['7s', '6d']","['2d', '2s']","['7h', '6s', '8h']",4d,,2,2
2,Flop,1,24,-24,DISCARD,0,"['7s', '6d']","['2d', '2s']","['7h', '6s', '8h']",4d,,2,2
2,Flop,1,24,-24,CHECK,0,"['7s', '6d']","['9d', '2s']","['7h', '6s', '8h']",4d,2d,2,2
2,Turn,0,24,-24,CHECK,0,"['7s', '6d']","['9d', '2s']","['7h', '6s', '8h', '8d']",4d,2d,2,2
2,Turn,1,24,-24,CHECK,0,"['7s', '6d']","['9d', '2s']","['7h', '6s', '8h', '8d']",4d,2d,2,2
2,River,0,24,-24,RAISE,98,"['7s', '6d']","['9d', '2s']","['7h', '6s', '8h', '8d', '6h']",4d,2d,2,2
2,River,1,24,-24,FOLD,0,"['7s', '6d']","['9d', '2s']","['7h', '6s', '8h', '8d', '6h']",4d,2d,2,2
3,Pre-Flop,1,26,-26,FOLD,0,"['7d', 'Ah']","['2h', '2d']","['8s', '5d']",,,1,1
4,Pre-Flop,0,27,-27,CALL,0,"['9d', '8h']","['Ah', '9h']","['6s', '3d']",,,1,1
