# Team 0: Flushed Faces, Team 1: Quantum Bluff
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,DISCARD,0,"['6h', '3s']","['As', '7d']","['4d', '9d']",,,1,1
0,Pre-Flop,0,0,0,RAISE,2,"['6h', 'Ah']","['As', '7d']","['4d', '9d']",3s,,1,1
0,Pre-Flop,1,0,0,RAISE,4,"['6h', 'Ah']","['As', '7d']","['4d', '9d']",3s,,2,2
0,Pre-Flop,0,0,0,CALL,0,"['6h', 'Ah']","['As', '7d']","['4d', '9d']",3s,,4,4
0,Flop,0,0,0,CHECK,0,"['6h', 'Ah']","['As', '7d']","['4d', '9d', '5d']",3s,,8,8
0,Flop,1,0,0,RAISE,8,"['6h', 'Ah']","['As', '7d']","['4d', '9d', '5d']",3s,,8,8
0,Flop,0,0,0,CALL,0,"['6h', 'Ah']","['As', '7d']","['4d', '9d', '5d']",3s,,8,8
0,Turn,0,0,0,CHECK,0,"['6h', 'Ah']","['As', '7d']","['4d', '9d', '5d', '6d']",3s,,16,16
0,Turn,1,0,0,RAISE,32,"['6h', 'Ah']","['As', '7d']","['4d', '9d', '5d', '6d']",3s,,16,16
0,Turn,0,0,0,FOLD,0,"['6h', 'Ah']","['As', '7d']","['4d', '9d', '5d', '6d']",3s,,16,16
1,Pre-Flop,1,-16,16,FOLD,0,"['4s', '7h']","['3d', '2s']","['4h', '6s']",,,1,1
2,Pre-Flop,0,-15,15,CALL,0,"['7h', '8d']","['8h', '5d']","['7d', '2h']",,,1,1
2,Pre-Flop,1,-15,15,RAISE,2,"['7h', '8d']","['8h', '5d']","['7d', '2h']",,,2,2
2,Pre-Flop,0,-15,15,CALL,0,"['7h', '8d']","['8h', '5d']","['7d', '2h']",,,2,2
2,Flop,0,-15,15,RAISE,41,"['7h', '8d']","['8h', '5d']","['7d', '2h', '2d']",,,4,4
2,Flop,1,-15,15,DISCARD,0,"['7h', '8d']","['8h', '5d']","['7d', '2h', '2d']",,,4,4
2,Flop,1,-15,15,FOLD,0,"['7h', '8d']","['As', '5d']","['7d', '2h', '2d']",,8h,4,4
3,Pre-Flop,1,-11,11,RAISE,2,"['4h', '4s']","['6s', 'Ad']","['9s', '5s']",,,1,1
3,Pre-Flop,0,-11,11,CALL,0,"['4h', '4s']","['6s', 'Ad']","['9s', '5s']",,,2,2
3,Flop,1,-11,11,CHECK,0,"['4h', '4s']","['6s', 'Ad']","['9s', '5s', '2s']",,,4,4
3,Flop,0,-11,11,CHECK,0,"['4h', '4s']","['6s', 'Ad']","['9s', '5s', '2s']",,,4,4
3,Turn,1,-11,11,CHECK,0,"['4h', '4s']","['6s', 'Ad']","['9s', '5s', '2s', '6h']",,,4,4
3,Turn,0,-11,11,CHECK,0,"['4h', '4s']","['6s', 'Ad']","['9s', '5s', '2s', '6h']",,,4,4
3,River,1,-11,11,CHECK,0,"['4h', '4s']","['6s', 'Ad']","['9s', '5s', '2s', '6h', '8h']",,,4,4
3,River,0,-11,11,CHECK,0,"['4h', '4s']","['6s', 'Ad']","['9s', '5s', '2s', '6h', '8h']",,,4,4
4,Pre-Flop,0,-15,15,CALL,0,"['6h', '8h']","['8d', '7h']","['3d', '2d']",,,1,1
4,Pre-Flop,1,-15,15,RAISE,2,"['6h', '8h']","['8d', '7h']","['3d', '2d']",,,2,2
4,Pre-Flop,0,-15,15,CALL,0,"['6h', '8h']","['8d', '7h']","['3d', '2d']",,,2,2
4,Flop,0,-15,15,DISCARD,0,"['6h', '8h']","['8d', '7h']","['3d', '2d', '7s']",,,4,4
4,Flop,0,-15,15,CHECK,0,"['6h', '6s']","['8d', '7h']","['3d', '2d', '7s']",8h,,4,4
4,Flop,1,-15,15,RAISE,4,"['6h', '6s']","['8d', '7h']","['3d', '2d', '7s']",8h,,4,4
4,Flop,0,-15,15,CALL,0,"['6h', '6s']","['8d', '7h']","['3d', '2d', '7s']",8h,,4,4
4,Turn,0,-15,15,CHECK,0,"['6h', '6s']","['8d', '7h']","['3d', '2d', '7s', '4h']",8h,,8,8
4,Turn,1,-15,15,RAISE,8,"['6h', '6s']","['8d', '7h']","['3d', '2d', '7s', '4h']",8h,,8,8
4,Turn,0,-15,15,CALL,0,"['6h', '6s']","['8d', '7h']","['3d', '2d', '7s', '4h']",8h,,8,8
4,River,0,-15,15,CHECK,0,"['6h', '6s']","['8d', '7h']","['3d', '2d', '7s', '4h', '9d']",8h,,16,16
4,River,1,-15,15,RAISE,16,"['6h', '6s']","['8d', '7h']","['3d', '2d', '7s', '4h', '9d']",8h,,16,16
4,River,0,-15,15,CALL,0,"['6h', '6s']","['8d', '7h']","['3d', '2d', '7s', '4h', '9d']",8h,,16,16
5,Pre-Flop,1,-47,47,RAISE,2,"['7d', '8d']","['8s', '5d']","['6d', '6h']",,,1,1
5,Pre-Flop,0,-47,47,CALL,0,"['7d', '8d']","['8s', '5d']","['6d', '6h']",,,2,2
5,Flop,1,-47,47,CHECK,0,"['7d', '8d']","['8s', '5d']","['6d', '6h', '4d']",,,4,4
5,Flop,0,-47,47,RAISE,43,"['7d', '8d']","['8s', '5d']","['6d', '6h', '4d']",,,4,4
5,Flop,1,-47,47,DISCARD,0,"['7d', '8d']","['8s', '5d']","['6d', '6h', '4d']",,,4,4
5,Flop,1,-47,47,RAISE,43,"['7d', '8d']","['6s', '5d']","['6d', '6h', '4d']",,8s,4,4
5,Flop,0,-47,47,DISCARD,0,"['7d', '8d']","['6s', '5d']","['6d', '6h', '4d']",,8s,47,47
5,Flop,0,-47,47,FOLD,0,"['4s', '8d']","['6s', '5d']","['6d', '6h', '4d']",7d,8s,47,47
6,Pre-Flop,0,-94,94,CALL,0,"['6s', '5h']","['5d', '7h']","['2h', '9h']",,,1,1
6,Pre-Flop,1,-94,94,RAISE,2,"['6s', '5h']","['5d', '7h']","['2h', '9h']",,,2,2
6,Pre-Flop,0,-94,94,CALL,0,"['6s', '5h']","['5d', '7h']","['2h', '9h']",,,2,2
6,Flop,0,-94,94,DISCARD,0,"['6s', '5h']","['5d', '7h']","['2h', '9h', '3s']",,,4,4
6,Flop,0,-94,94,RAISE,10,"['8h', '5h']","['5d', '7h']","['2h', '9h', '3s']",6s,,4,4
6,Flop,1,-94,94,DISCARD,0,"['8h', '5h']","['5d', '7h']","['2h', '9h', '3s']",6s,,4,4
6,Flop,1,-94,94,FOLD,0,"['8h', '5h']","['5d', '7s']","['2h', '9h', '3s']",6s,7h,4,4
7,Pre-Flop,1,-90,90,RAISE,2,"['2h', '7s']","['6h', '9s']","['8d', '6d']",,,1,1
7,Pre-Flop,0,-90,90,DISCARD,0,"['2h', '7s']","['6h', '9s']","['8d', '6d']",,,2,2
7,Pre-Flop,0,-90,90,CALL,0,"['5d', '7s']","['6h', '9s']","['8d', '6d']",2h,,2,2
7,Flop,1,-90,90,CHECK,0,"['5d', '7s']","['6h', '9s']","['8d', '6d', '5s']",2h,,4,4
7,Flop,0,-90,90,RAISE,23,"['5d', '7s']","['6h', '9s']","['8d', '6d', '5s']",2h,,4,4
7,Flop,1,-90,90,DISCARD,0,"['5d', '7s']","['6h', '9s']","['8d', '6d', '5s']",2h,,4,4
7,Flop,1,-90,90,FOLD,0,"['5d', '7s']","['6h', '8s']","['8d', '6d', '5s']",2h,9s,4,4
8,Pre-Flop,0,-86,86,DISCARD,0,"['6d', '3d']","['9h', '7s']","['5h', '6h']",,,1,1
8,Pre-Flop,0,-86,86,CALL,0,"['6d', '3h']","['9h', '7s']","['5h', '6h']",3d,,1,1
8,Pre-Flop,1,-86,86,RAISE,2,"['6d', '3h']","['9h', '7s']","['5h', '6h']",3d,,2,2
8,Pre-Flop,0,-86,86,CALL,0,"['6d', '3h']","['9h', '7s']","['5h', '6h']",3d,,2,2
8,Flop,0,-86,86,CHECK,0,"['6d', '3h']","['9h', '7s']","['5h', '6h', '5s']",3d,,4,4
8,Flop,1,-86,86,CHECK,0,"['6d', '3h']","['9h', '7s']","['5h', '6h', '5s']",3d,,4,4
8,Turn,0,-86,86,RAISE,96,"['6d', '3h']","['9h', '7s']","['5h', '6h', '5s', '5d']",3d,,4,4
8,Turn,1,-86,86,FOLD,0,"['6d', '3h']","['9h', '7s']","['5h', '6h', '5s', '5d']",3d,,4,4
9,Pre-Flop,1,-82,82,RAISE,2,"['2d', '9h']","['3d', '5h']","['4h', '5s']",,,1,1
9,Pre-Flop,0,-82,82,DISCARD,0,"['2d', '9h']","['3d', '5h']","['4h', '5s']",,,2,2
9,Pre-Flop,0,-82,82,CALL,0,"['4s', '9h']","['3d', '5h']","['4h', '5s']",2d,,2,2
9,Flop,1,-82,82,CHECK,0,"['4s', '9h']","['3d', '5h']","['4h', '5s', '7d']",2d,,4,4
9,Flop,0,-82,82,CHECK,0,"['4s', '9h']","['3d', '5h']","['4h', '5s', '7d']",2d,,4,4
9,Turn,1,-82,82,CHECK,0,"['4s', '9h']","['3d', '5h']","['4h', '5s', '7d', '8d']",2d,,4,4
9,Turn,0,-82,82,CHECK,0,"['4s', '9h']","['3d', '5h']","['4h', '5s', '7d', '8d']",2d,,4,4
9,River,1,-82,82,CHECK,0,"['4s', '9h']","['3d', '5h']","['4h', '5s', '7d', '8d', '6s']",2d,,4,4
9,River,0,-82,82,RAISE,96,"['4s', '9h']","['3d', '5h']","['4h', '5s', '7d', '8d', '6s']",2d,,4,4
9,River,1,-82,82,FOLD,0,"['4s', '9h']","['3d', '5h']","['4h', '5s', '7d', '8d', '6s']",2d,,4,4
10,Pre-Flop,0,-78,78,CALL,0,"['8d', 'Ad']","['2s', '3h']","['3s', '8h']",,,1,1
10,Pre-Flop,1,-78,78,CHECK,0,"['8d', 'Ad']","['2s', '3h']","['3s', '8h']",,,2,2
10,Flop,0,-78,78,RAISE,64,"['8d', 'Ad']","['2s', '3h']","['3s', '8h', '9d']",,,2,2
10,Flop,1,-78,78,DISCARD,0,"['8d', 'Ad']","['2s', '3h']","['3s', '8h', '9d']",,,2,2
10,Flop,1,-78,78,FOLD,0,"['8d', 'Ad']","['2d', '3h']","['3s', '8h', '9d']",,2s,2,2
11,Pre-Flop,1,-76,76,RAISE,2,"['Ad', '5h']","['5d', '2d']","['2h', '5s']",,,1,1
11,Pre-Flop,0,-76,76,CALL,0,"['Ad', '5h']","['5d', '2d']","['2h', '5s']",,,2,2
11,Flop,1,-76,76,CHECK,0,"['Ad', '5h']","['5d', '2d']","['2h', '5s', '4d']",,,4,4
11,Flop,0,-76,76,CHECK,0,"['Ad', '5h']","['5d', '2d']","['2h', '5s', '4d']",,,4,4
11,Turn,1,-76,76,RAISE,4,"['Ad', '5h']","['5d', '2d']","['2h', '5s', '4d', '9s']",,,4,4
11,Turn,0,-76,76,CALL,0,"['Ad', '5h']","['5d', '2d']","['2h', '5s', '4d', '9s']",,,4,4
11,River,1,-76,76,RAISE,8,"['Ad', '5h']","['5d', '2d']","['2h', '5s', '4d', '9s', '9h']",,,8,8
11,River,0,-76,76,RAISE,66,"['Ad', '5h']","['5d', '2d']","['2h', '5s', '4d', '9s', '9h']",,,8,8
11,River,1,-76,76,FOLD,0,"['Ad', '5h']","['5d', '2d']","['2h', '5s', '4d', '9s', '9h']",,,16,16
12,Pre-Flop,0,-60,60,CALL,0,"['5d', '8d']","['3h', '7h']","['5h', '6s']",,,1,1
12,Pre-Flop,1,-60,60,RAISE,2,"['5d', '8d']","['3h', '7h']","['5h', '6s']",,,2,2
12,Pre-Flop,0,-60,60,CALL,0,"['5d', '8d']","['3h', '7h']","['5h', '6s']",,,2,2
12,Flop,0,-60,60,CHECK,0,"['5d', '8d']","['3h', '7h']","['5h', '6s', '3d']",,,4,4
12,Flop,1,-60,60,CHECK,0,"['5d', '8d']","['3h', '7h']","['5h', '6s', '3d']",,,4,4
12,Turn,0,-60,60,RAISE,19,"['5d', '8d']","['3h', '7h']","['5h', '6s', '3d', '7d']",,,4,4
12,Turn,1,-60,60,FOLD,0,"['5d', '8d']","['3h', '7h']","['5h', '6s', '3d', '7d']",,,4,4
13,Pre-Flop,1,-56,56,RAISE,2,"['9d', '2d']","['6d', '5d']","['4s', '3s']",,,1,1
13,Pre-Flop,0,-56,56,CALL,0,"['9d', '2d']","['6d', '5d']","['4s', '3s']",,,2,2
13,Flop,1,-56,56,CHECK,0,"['9d', '2d']","['6d', '5d']","['4s', '3s', 'Ad']",,,4,4
13,Flop,0,-56,56,DISCARD,0,"['9d', '2d']","['6d', '5d']","['4s', '3s', 'Ad']",,,4,4
13,Flop,0,-56,56,CHECK,0,"['4h', '2d']","['6d', '5d']","['4s', '3s', 'Ad']",9d,,4,4
13,Turn,1,-56,56,RAISE,8,"['4h', '2d']","['6d', '5d']","['4s', '3s', 'Ad', '7d']",9d,,4,4
13,Turn,0,-56,56,CALL,0,"['4h', '2d']","['6d', '5d']","['4s', '3s', 'Ad', '7d']",9d,,4,4
13,River,1,-56,56,RAISE,88,"['4h', '2d']","['6d', '5d']","['4s', '3s', 'Ad', '7d', '8h']",9d,,12,12
13,River,0,-56,56,FOLD,0,"['4h', '2d']","['6d', '5d']","['4s', '3s', 'Ad', '7d', '8h']",9d,,12,12
14,Pre-Flop,0,-68,68,CALL,0,"['As', '4d']","['3s', '9d']","['4h', 'Ah']",,,1,1
14,Pre-Flop,1,-68,68,RAISE,2,"['As', '4d']","['3s', '9d']","['4h', 'Ah']",,,2,2
14,Pre-Flop,0,-68,68,CALL,0,"['As', '4d']","['3s', '9d']","['4h', 'Ah']",,,2,2
14,Flop,0,-68,68,RAISE,48,"['As', '4d']","['3s', '9d']","['4h', 'Ah', '6s']",,,4,4
14,Flop,1,-68,68,DISCARD,0,"['As', '4d']","['3s', '9d']","['4h', 'Ah', '6s']",,,4,4
14,Flop,1,-68,68,FOLD,0,"['As', '4d']","['3s', '9s']","['4h', 'Ah', '6s']",,9d,4,4
15,Pre-Flop,1,-64,64,RAISE,2,"['7d', '7s']","['5h', '2h']","['Ad', '6d']",,,1,1
15,Pre-Flop,0,-64,64,CALL,0,"['7d', '7s']","['5h', '2h']","['Ad', '6d']",,,2,2
15,Flop,1,-64,64,DISCARD,0,"['7d', '7s']","['5h', '2h']","['Ad', '6d', '3d']",,,4,4
15,Flop,1,-64,64,CHECK,0,"['7d', '7s']","['5h', '6h']","['Ad', '6d', '3d']",,2h,4,4
15,Flop,0,-64,64,RAISE,81,"['7d', '7s']","['5h', '6h']","['Ad', '6d', '3d']",,2h,4,4
15,Flop,1,-64,64,FOLD,0,"['7d', '7s']","['5h', '6h']","['Ad', '6d', '3d']",,2h,4,4
16,Pre-Flop,0,-60,60,DISCARD,0,"['2s', '6s']","['Ah', '6h']","['9d', '2h']",,,1,1
16,Pre-Flop,0,-60,60,CALL,0,"['2d', '6s']","['Ah', '6h']","['9d', '2h']",2s,,1,1
16,Pre-Flop,1,-60,60,RAISE,2,"['2d', '6s']","['Ah', '6h']","['9d', '2h']",2s,,2,2
16,Pre-Flop,0,-60,60,CALL,0,"['2d', '6s']","['Ah', '6h']","['9d', '2h']",2s,,2,2
16,Flop,0,-60,60,CHECK,0,"['2d', '6s']","['Ah', '6h']","['9d', '2h', '4h']",2s,,4,4
16,Flop,1,-60,60,RAISE,4,"['2d', '6s']","['Ah', '6h']","['9d', '2h', '4h']",2s,,4,4
16,Flop,0,-60,60,CALL,0,"['2d', '6s']","['Ah', '6h']","['9d', '2h', '4h']",2s,,4,4
16,Turn,0,-60,60,CHECK,0,"['2d', '6s']","['Ah', '6h']","['9d', '2h', '4h', '5s']",2s,,8,8
16,Turn,1,-60,60,CHECK,0,"['2d', '6s']","['Ah', '6h']","['9d', '2h', '4h', '5s']",2s,,8,8
16,River,0,-60,60,CHECK,0,"['2d', '6s']","['Ah', '6h']","['9d', '2h', '4h', '5s', '7d']",2s,,8,8
16,River,1,-60,60,CHECK,0,"['2d', '6s']","['Ah', '6h']","['9d', '2h', '4h', '5s', '7d']",2s,,8,8
17,Pre-Flop,1,-52,52,RAISE,2,"['9h', '8d']","['2s', '6s']","['7s', '5s']",,,1,1
17,Pre-Flop,0,-52,52,CALL,0,"['9h', '8d']","['2s', '6s']","['7s', '5s']",,,2,2
17,Flop,1,-52,52,RAISE,4,"['9h', '8d']","['2s', '6s']","['7s', '5s', '8h']",,,4,4
17,Flop,0,-52,52,RAISE,17,"['9h', '8d']","['2s', '6s']","['7s', '5s', '8h']",,,4,4
17,Flop,1,-52,52,DISCARD,0,"['9h', '8d']","['2s', '6s']","['7s', '5s', '8h']",,,8,8
17,Flop,1,-52,52,FOLD,0,"['9h', '8d']","['As', '6s']","['7s', '5s', '8h']",,2s,8,8
18,Pre-Flop,0,-44,44,DISCARD,0,"['3h', '9s']","['6h', 'Ad']","['7s', '3s']",,,1,1
18,Pre-Flop,0,-44,44,CALL,0,"['2h', '9s']","['6h', 'Ad']","['7s', '3s']",3h,,1,1
18,Pre-Flop,1,-44,44,RAISE,2,"['2h', '9s']","['6h', 'Ad']","['7s', '3s']",3h,,2,2
18,Pre-Flop,0,-44,44,CALL,0,"['2h', '9s']","['6h', 'Ad']","['7s', '3s']",3h,,2,2
18,Flop,0,-44,44,CHECK,0,"['2h', '9s']","['6h', 'Ad']","['7s', '3s', '4s']",3h,,4,4
18,Flop,1,-44,44,CHECK,0,"['2h', '9s']","['6h', 'Ad']","['7s', '3s', '4s']",3h,,4,4
18,Turn,0,-44,44,CHECK,0,"['2h', '9s']","['6h', 'Ad']","['7s', '3s', '4s', 'Ah']",3h,,4,4
18,Turn,1,-44,44,RAISE,6,"['2h', '9s']","['6h', 'Ad']","['7s', '3s', '4s', 'Ah']",3h,,4,4
18,Turn,0,-44,44,CALL,0,"['2h', '9s']","['6h', 'Ad']","['7s', '3s', '4s', 'Ah']",3h,,4,4
18,River,0,-44,44,CHECK,0,"['2h', '9s']","['6h', 'Ad']","['7s', '3s', '4s', 'Ah', '7d']",3h,,10,10
18,River,1,-44,44,RAISE,67,"['2h', '9s']","['6h', 'Ad']","['7s', '3s', '4s', 'Ah', '7d']",3h,,10,10
18,River,0,-44,44,FOLD,0,"['2h', '9s']","['6h', 'Ad']","['7s', '3s', '4s', 'Ah', '7d']",3h,,10,10
19,Pre-Flop,1,-54,54,RAISE,2,"['2h', '8s']","['8h', '6d']","['Ad', 'As']",,,1,1
19,Pre-Flop,0,-54,54,DISCARD,0,"['2h', '8s']","['8h', '6d']","['Ad', 'As']",,,2,2
19,Pre-Flop,0,-54,54,CALL,0,"['9h', '8s']","['8h', '6d']","['Ad', 'As']",2h,,2,2
19,Flop,1,-54,54,RAISE,4,"['9h', '8s']","['8h', '6d']","['Ad', 'As', '6h']",2h,,4,4
19,Flop,0,-54,54,RAISE,13,"['9h', '8s']","['8h', '6d']","['Ad', 'As', '6h']",2h,,4,4
19,Flop,1,-54,54,DISCARD,0,"['9h', '8s']","['8h', '6d']","['Ad', 'As', '6h']",2h,,8,8
19,Flop,1,-54,54,FOLD,0,"['9h', '8s']","['3h', '6d']","['Ad', 'As', '6h']",2h,8h,8,8
20,Pre-Flop,0,-46,46,CALL,0,"['9d', '6s']","['Ad', '7s']","['4d', '7d']",,,1,1
20,Pre-Flop,1,-46,46,RAISE,2,"['9d', '6s']","['Ad', '7s']","['4d', '7d']",,,2,2
20,Pre-Flop,0,-46,46,CALL,0,"['9d', '6s']","['Ad', '7s']","['4d', '7d']",,,2,2
20,Flop,0,-46,46,CHECK,0,"['9d', '6s']","['Ad', '7s']","['4d', '7d', 'Ah']",,,4,4
20,Flop,1,-46,46,RAISE,6,"['9d', '6s']","['Ad', '7s']","['4d', '7d', 'Ah']",,,4,4
20,Flop,0,-46,46,CALL,0,"['9d', '6s']","['Ad', '7s']","['4d', '7d', 'Ah']",,,4,4
20,Turn,0,-46,46,RAISE,24,"['9d', '6s']","['Ad', '7s']","['4d', '7d', 'Ah', '9s']",,,10,10
20,Turn,1,-46,46,RAISE,33,"['9d', '6s']","['Ad', '7s']","['4d', '7d', 'Ah', '9s']",,,10,10
20,Turn,0,-46,46,CALL,0,"['9d', '6s']","['Ad', '7s']","['4d', '7d', 'Ah', '9s']",,,34,34
20,River,0,-46,46,CHECK,0,"['9d', '6s']","['Ad', '7s']","['4d', '7d', 'Ah', '9s', '4h']",,,67,67
20,River,1,-46,46,RAISE,24,"['9d', '6s']","['Ad', '7s']","['4d', '7d', 'Ah', '9s', '4h']",,,67,67
20,River,0,-46,46,CALL,0,"['9d', '6s']","['Ad', '7s']","['4d', '7d', 'Ah', '9s', '4h']",,,67,67
21,Pre-Flop,1,-137,137,RAISE,2,"['8s', '6d']","['7s', '6s']","['2h', '5h']",,,1,1
21,Pre-Flop,0,-137,137,CALL,0,"['8s', '6d']","['7s', '6s']","['2h', '5h']",,,2,2
21,Flop,1,-137,137,DISCARD,0,"['8s', '6d']","['7s', '6s']","['2h', '5h', '3d']",,,4,4
21,Flop,1,-137,137,CHECK,0,"['8s', '6d']","['9h', '6s']","['2h', '5h', '3d']",,7s,4,4
21,Flop,0,-137,137,DISCARD,0,"['8s', '6d']","['9h', '6s']","['2h', '5h', '3d']",,7s,4,4
21,Flop,0,-137,137,CHECK,0,"['3h', '6d']","['9h', '6s']","['2h', '5h', '3d']",8s,7s,4,4
21,Turn,1,-137,137,CHECK,0,"['3h', '6d']","['9h', '6s']","['2h', '5h', '3d', '7d']",8s,7s,4,4
21,Turn,0,-137,137,RAISE,5,"['3h', '6d']","['9h', '6s']","['2h', '5h', '3d', '7d']",8s,7s,4,4
21,Turn,1,-137,137,FOLD,0,"['3h', '6d']","['9h', '6s']","['2h', '5h', '3d', '7d']",8s,7s,4,4
22,Pre-Flop,0,-133,133,CALL,0,"['5h', 'Ah']","['6d', '4h']","['9s', '7d']",,,1,1
22,Pre-Flop,1,-133,133,RAISE,2,"['5h', 'Ah']","['6d', '4h']","['9s', '7d']",,,2,2
22,Pre-Flop,0,-133,133,CALL,0,"['5h', 'Ah']","['6d', '4h']","['9s', '7d']",,,2,2
22,Flop,0,-133,133,DISCARD,0,"['5h', 'Ah']","['6d', '4h']","['9s', '7d', '8s']",,,4,4
22,Flop,0,-133,133,RAISE,26,"['7s', 'Ah']","['6d', '4h']","['9s', '7d', '8s']",5h,,4,4
22,Flop,1,-133,133,DISCARD,0,"['7s', 'Ah']","['6d', '4h']","['9s', '7d', '8s']",5h,,4,4
22,Flop,1,-133,133,FOLD,0,"['7s', 'Ah']","['6d', '3h']","['9s', '7d', '8s']",5h,4h,4,4
23,Pre-Flop,1,-129,129,RAISE,2,"['Ah', '5s']","['6h', '9s']","['2d', '2s']",,,1,1
23,Pre-Flop,0,-129,129,CALL,0,"['Ah', '5s']","['6h', '9s']","['2d', '2s']",,,2,2
23,Flop,1,-129,129,RAISE,4,"['Ah', '5s']","['6h', '9s']","['2d', '2s', '9d']",,,4,4
23,Flop,0,-129,129,DISCARD,0,"['Ah', '5s']","['6h', '9s']","['2d', '2s', '9d']",,,4,4
23,Flop,0,-129,129,CALL,0,"['Ah', '8d']","['6h', '9s']","['2d', '2s', '9d']",5s,,4,4
23,Turn,1,-129,129,RAISE,12,"['Ah', '8d']","['6h', '9s']","['2d', '2s', '9d', '4h']",5s,,8,8
23,Turn,0,-129,129,CALL,0,"['Ah', '8d']","['6h', '9s']","['2d', '2s', '9d', '4h']",5s,,8,8
23,River,1,-129,129,RAISE,60,"['Ah', '8d']","['6h', '9s']","['2d', '2s', '9d', '4h', '7h']",5s,,20,20
23,River,0,-129,129,FOLD,0,"['Ah', '8d']","['6h', '9s']","['2d', '2s', '9d', '4h', '7h']",5s,,20,20
24,Pre-Flop,0,-149,149,DISCARD,0,"['3d', '4d']","['8s', '7s']","['4s', '5d']",,,1,1
24,Pre-Flop,0,-149,149,CALL,0,"['As', '4d']","['8s', '7s']","['4s', '5d']",3d,,1,1
