# Team 0: ekb, Team 1: Flushed Faces
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,2,"['6s', '8h']","['Ad', '2h']","['7d', '9h']",,,1,1
0,Pre-Flop,1,0,0,CALL,0,"['6s', '8h']","['Ad', '2h']","['7d', '9h']",,,2,2
0,Flop,0,0,0,CHECK,0,"['6s', '8h']","['Ad', '2h']","['7d', '9h', '9d']",,,4,4
0,Flop,1,0,0,CHECK,0,"['6s', '8h']","['Ad', '2h']","['7d', '9h', '9d']",,,4,4
0,Turn,0,0,0,CHECK,0,"['6s', '8h']","['Ad', '2h']","['7d', '9h', '9d', '3s']",,,4,4
0,Turn,1,0,0,CHECK,0,"['6s', '8h']","['Ad', '2h']","['7d', '9h', '9d', '3s']",,,4,4
0,River,0,0,0,CHECK,0,"['6s', '8h']","['Ad', '2h']","['7d', '9h', '9d', '3s', '4h']",,,4,4
0,River,1,0,0,CHECK,0,"['6s', '8h']","['Ad', '2h']","['7d', '9h', '9d', '3s', '4h']",,,4,4
1,Pre-Flop,1,-4,4,DISCARD,0,"['5s', '7s']","['6d', '3h']","['2s', 'As']",,,1,1
1,Pre-Flop,1,-4,4,RAISE,2,"['5s', '7s']","['6d', '7d']","['2s', 'As']",,3h,1,1
1,Pre-Flop,0,-4,4,CALL,0,"['5s', '7s']","['6d', '7d']","['2s', 'As']",,3h,2,2
1,Flop,1,-4,4,CHECK,0,"['5s', '7s']","['6d', '7d']","['2s', 'As', '9s']",,3h,4,4
1,Flop,0,-4,4,RAISE,14,"['5s', '7s']","['6d', '7d']","['2s', 'As', '9s']",,3h,4,4
1,Flop,1,-4,4,FOLD,0,"['5s', '7s']","['6d', '7d']","['2s', 'As', '9s']",,3h,4,4
2,Pre-Flop,0,0,0,RAISE,2,"['7h', '9d']","['7s', 'As']","['6h', '9s']",,,1,1
2,Pre-Flop,1,0,0,RAISE,4,"['7h', '9d']","['7s', 'As']","['6h', '9s']",,,2,2
2,Pre-Flop,0,0,0,RAISE,9,"['7h', '9d']","['7s', 'As']","['6h', '9s']",,,4,4
2,Pre-Flop,1,0,0,CALL,0,"['7h', '9d']","['7s', 'As']","['6h', '9s']",,,8,8
2,Flop,0,0,0,RAISE,40,"['7h', '9d']","['7s', 'As']","['6h', '9s', '6s']",,,17,17
2,Flop,1,0,0,FOLD,0,"['7h', '9d']","['7s', 'As']","['6h', '9s', '6s']",,,17,17
3,Pre-Flop,1,17,-17,DISCARD,0,"['5s', '9d']","['6d', '3s']","['As', '8h']",,,1,1
3,Pre-Flop,1,17,-17,RAISE,2,"['5s', '9d']","['6d', 'Ah']","['As', '8h']",,3s,1,1
3,Pre-Flop,0,17,-17,FOLD,0,"['5s', '9d']","['6d', 'Ah']","['As', '8h']",,3s,2,2
4,Pre-Flop,0,15,-15,RAISE,2,"['8d', '7d']","['5d', '4d']","['5s', '9h']",,,1,1
4,Pre-Flop,1,15,-15,CALL,0,"['8d', '7d']","['5d', '4d']","['5s', '9h']",,,2,2
4,Flop,0,15,-15,CHECK,0,"['8d', '7d']","['5d', '4d']","['5s', '9h', '9d']",,,4,4
4,Flop,1,15,-15,RAISE,5,"['8d', '7d']","['5d', '4d']","['5s', '9h', '9d']",,,4,4
4,Flop,0,15,-15,FOLD,0,"['8d', '7d']","['5d', '4d']","['5s', '9h', '9d']",,,4,4
5,Pre-Flop,1,11,-11,RAISE,2,"['6h', '2s']","['7h', 'Ah']","['3s', 'As']",,,1,1
5,Pre-Flop,0,11,-11,FOLD,0,"['6h', '2s']","['7h', 'Ah']","['3s', 'As']",,,2,2
6,Pre-Flop,0,9,-9,RAISE,2,"['9d', 'Ad']","['9s', '6h']","['2d', '5d']",,,1,1
6,Pre-Flop,1,9,-9,RAISE,4,"['9d', 'Ad']","['9s', '6h']","['2d', '5d']",,,2,2
6,Pre-Flop,0,9,-9,RAISE,9,"['9d', 'Ad']","['9s', '6h']","['2d', '5d']",,,4,4
6,Pre-Flop,1,9,-9,CALL,0,"['9d', 'Ad']","['9s', '6h']","['2d', '5d']",,,8,8
6,Flop,0,9,-9,RAISE,40,"['9d', 'Ad']","['9s', '6h']","['2d', '5d', '8s']",,,17,17
6,Flop,1,9,-9,DISCARD,0,"['9d', 'Ad']","['9s', '6h']","['2d', '5d', '8s']",,,17,17
6,Flop,1,9,-9,FOLD,0,"['9d', 'Ad']","['As', '6h']","['2d', '5d', '8s']",,9s,17,17
7,Pre-Flop,1,26,-26,RAISE,2,"['Ah', '2s']","['5s', '7s']","['3s', '7d']",,,1,1
7,Pre-Flop,0,26,-26,CALL,0,"['Ah', '2s']","['5s', '7s']","['3s', '7d']",,,2,2
7,Flop,1,26,-26,RAISE,4,"['Ah', '2s']","['5s', '7s']","['3s', '7d', '2d']",,,4,4
7,Flop,0,26,-26,FOLD,0,"['Ah', '2s']","['5s', '7s']","['3s', '7d', '2d']",,,4,4
8,Pre-Flop,0,22,-22,CALL,0,"['3s', 'Ad']","['5s', '8h']","['5d', '7h']",,,1,1
8,Pre-Flop,1,22,-22,RAISE,3,"['3s', 'Ad']","['5s', '8h']","['5d', '7h']",,,2,2
8,Pre-Flop,0,22,-22,CALL,0,"['3s', 'Ad']","['5s', '8h']","['5d', '7h']",,,2,2
8,Flop,0,22,-22,DISCARD,0,"['3s', 'Ad']","['5s', '8h']","['5d', '7h', '6h']",,,5,5
8,Flop,0,22,-22,CHECK,0,"['4s', 'Ad']","['5s', '8h']","['5d', '7h', '6h']",3s,,5,5
8,Flop,1,22,-22,RAISE,6,"['4s', 'Ad']","['5s', '8h']","['5d', '7h', '6h']",3s,,5,5
8,Flop,0,22,-22,FOLD,0,"['4s', 'Ad']","['5s', '8h']","['5d', '7h', '6h']",3s,,5,5
9,Pre-Flop,1,17,-17,DISCARD,0,"['5h', '2d']","['4h', '2s']","['8h', '4d']",,,1,1
9,Pre-Flop,1,17,-17,RAISE,2,"['5h', '2d']","['4h', '9h']","['8h', '4d']",,2s,1,1
9,Pre-Flop,0,17,-17,FOLD,0,"['5h', '2d']","['4h', '9h']","['8h', '4d']",,2s,2,2
10,Pre-Flop,0,15,-15,CALL,0,"['4s', '8s']","['5d', '2s']","['6s', '6h']",,,1,1
10,Pre-Flop,1,15,-15,DISCARD,0,"['4s', '8s']","['5d', '2s']","['6s', '6h']",,,2,2
10,Pre-Flop,1,15,-15,RAISE,2,"['4s', '8s']","['5d', 'Ad']","['6s', '6h']",,2s,2,2
10,Pre-Flop,0,15,-15,FOLD,0,"['4s', '8s']","['5d', 'Ad']","['6s', '6h']",,2s,2,2
11,Pre-Flop,1,13,-13,CALL,0,"['6h', '2h']","['9d', '4s']","['Ah', '8s']",,,1,1
11,Pre-Flop,0,13,-13,CHECK,0,"['6h', '2h']","['9d', '4s']","['Ah', '8s']",,,2,2
11,Flop,1,13,-13,DISCARD,0,"['6h', '2h']","['9d', '4s']","['Ah', '8s', '5h']",,,2,2
11,Flop,1,13,-13,CHECK,0,"['6h', '2h']","['9d', '4h']","['Ah', '8s', '5h']",,4s,2,2
11,Flop,0,13,-13,CHECK,0,"['6h', '2h']","['9d', '4h']","['Ah', '8s', '5h']",,4s,2,2
11,Turn,1,13,-13,CHECK,0,"['6h', '2h']","['9d', '4h']","['Ah', '8s', '5h', '7s']",,4s,2,2
11,Turn,0,13,-13,CHECK,0,"['6h', '2h']","['9d', '4h']","['Ah', '8s', '5h', '7s']",,4s,2,2
11,River,1,13,-13,CHECK,0,"['6h', '2h']","['9d', '4h']","['Ah', '8s', '5h', '7s', 'As']",,4s,2,2
11,River,0,13,-13,CHECK,0,"['6h', '2h']","['9d', '4h']","['Ah', '8s', '5h', '7s', 'As']",,4s,2,2
12,Pre-Flop,0,11,-11,CALL,0,"['4d', '6s']","['Ad', '6h']","['Ah', '3d']",,,1,1
12,Pre-Flop,1,11,-11,RAISE,2,"['4d', '6s']","['Ad', '6h']","['Ah', '3d']",,,2,2
12,Pre-Flop,0,11,-11,CALL,0,"['4d', '6s']","['Ad', '6h']","['Ah', '3d']",,,2,2
12,Flop,0,11,-11,CHECK,0,"['4d', '6s']","['Ad', '6h']","['Ah', '3d', '7d']",,,4,4
12,Flop,1,11,-11,RAISE,2,"['4d', '6s']","['Ad', '6h']","['Ah', '3d', '7d']",,,4,4
12,Flop,0,11,-11,FOLD,0,"['4d', '6s']","['Ad', '6h']","['Ah', '3d', '7d']",,,4,4
13,Pre-Flop,1,7,-7,DISCARD,0,"['4s', 'As']","['8h', '3s']","['9h', '2s']",,,1,1
13,Pre-Flop,1,7,-7,RAISE,2,"['4s', 'As']","['8h', '7s']","['9h', '2s']",,3s,1,1
13,Pre-Flop,0,7,-7,CALL,0,"['4s', 'As']","['8h', '7s']","['9h', '2s']",,3s,2,2
13,Flop,1,7,-7,CHECK,0,"['4s', 'As']","['8h', '7s']","['9h', '2s', '2d']",,3s,4,4
13,Flop,0,7,-7,CHECK,0,"['4s', 'As']","['8h', '7s']","['9h', '2s', '2d']",,3s,4,4
13,Turn,1,7,-7,CHECK,0,"['4s', 'As']","['8h', '7s']","['9h', '2s', '2d', '9s']",,3s,4,4
13,Turn,0,7,-7,CHECK,0,"['4s', 'As']","['8h', '7s']","['9h', '2s', '2d', '9s']",,3s,4,4
13,River,1,7,-7,CHECK,0,"['4s', 'As']","['8h', '7s']","['9h', '2s', '2d', '9s', '6h']",,3s,4,4
13,River,0,7,-7,CHECK,0,"['4s', 'As']","['8h', '7s']","['9h', '2s', '2d', '9s', '6h']",,3s,4,4
14,Pre-Flop,0,11,-11,RAISE,2,"['Ad', '5h']","['2s', '7d']","['8s', '8d']",,,1,1
14,Pre-Flop,1,11,-11,DISCARD,0,"['Ad', '5h']","['2s', '7d']","['8s', '8d']",,,2,2
14,Pre-Flop,1,11,-11,CALL,0,"['Ad', '5h']","['2d', '7d']","['8s', '8d']",,2s,2,2
14,Flop,0,11,-11,CHECK,0,"['Ad', '5h']","['2d', '7d']","['8s', '8d', '6h']",,2s,4,4
14,Flop,1,11,-11,CHECK,0,"['Ad', '5h']","['2d', '7d']","['8s', '8d', '6h']",,2s,4,4
14,Turn,0,11,-11,RAISE,9,"['Ad', '5h']","['2d', '7d']","['8s', '8d', '6h', '7s']",,2s,4,4
14,Turn,1,11,-11,FOLD,0,"['Ad', '5h']","['2d', '7d']","['8s', '8d', '6h', '7s']",,2s,4,4
15,Pre-Flop,1,15,-15,RAISE,2,"['6h', '4h']","['7h', '8s']","['9h', '4d']",,,1,1
15,Pre-Flop,0,15,-15,CALL,0,"['6h', '4h']","['7h', '8s']","['9h', '4d']",,,2,2
15,Flop,1,15,-15,RAISE,5,"['6h', '4h']","['7h', '8s']","['9h', '4d', '6d']",,,4,4
15,Flop,0,15,-15,RAISE,15,"['6h', '4h']","['7h', '8s']","['9h', '4d', '6d']",,,4,4
15,Flop,1,15,-15,FOLD,0,"['6h', '4h']","['7h', '8s']","['9h', '4d', '6d']",,,9,9
16,Pre-Flop,0,24,-24,FOLD,0,"['2d', '6s']","['Ad', '9s']","['5d', 'Ah']",,,1,1
17,Pre-Flop,1,23,-23,RAISE,2,"['4s', 'Ad']","['8d', '5d']","['6h', '8h']",,,1,1
17,Pre-Flop,0,23,-23,CALL,0,"['4s', 'Ad']","['8d', '5d']","['6h', '8h']",,,2,2
17,Flop,1,23,-23,CHECK,0,"['4s', 'Ad']","['8d', '5d']","['6h', '8h', '4h']",,,4,4
17,Flop,0,23,-23,DISCARD,0,"['4s', 'Ad']","['8d', '5d']","['6h', '8h', '4h']",,,4,4
17,Flop,0,23,-23,CHECK,0,"['4d', 'Ad']","['8d', '5d']","['6h', '8h', '4h']",4s,,4,4
17,Turn,1,23,-23,CHECK,0,"['4d', 'Ad']","['8d', '5d']","['6h', '8h', '4h', 'Ah']",4s,,4,4
17,Turn,0,23,-23,CHECK,0,"['4d', 'Ad']","['8d', '5d']","['6h', '8h', '4h', 'Ah']",4s,,4,4
17,River,1,23,-23,RAISE,3,"['4d', 'Ad']","['8d', '5d']","['6h', '8h', '4h', 'Ah', '8s']",4s,,4,4
17,River,0,23,-23,FOLD,0,"['4d', 'Ad']","['8d', '5d']","['6h', '8h', '4h', 'Ah', '8s']",4s,,4,4
18,Pre-Flop,0,19,-19,RAISE,2,"['6h', '7d']","['4s', 'As']","['3h', '6s']",,,1,1
18,Pre-Flop,1,19,-19,RAISE,4,"['6h', '7d']","['4s', 'As']","['3h', '6s']",,,2,2
18,Pre-Flop,0,19,-19,RAISE,9,"['6h', '7d']","['4s', 'As']","['3h', '6s']",,,4,4
18,Pre-Flop,1,19,-19,CALL,0,"['6h', '7d']","['4s', 'As']","['3h', '6s']",,,8,8
18,Flop,0,19,-19,CHECK,0,"['6h', '7d']","['4s', 'As']","['3h', '6s', '3s']",,,17,17
18,Flop,1,19,-19,RAISE,17,"['6h', '7d']","['4s', 'As']","['3h', '6s', '3s']",,,17,17
18,Flop,0,19,-19,FOLD,0,"['6h', '7d']","['4s', 'As']","['3h', '6s', '3s']",,,17,17
19,Pre-Flop,1,2,-2,RAISE,2,"['9s', '4h']","['4d', 'As']","['9h', '5s']",,,1,1
19,Pre-Flop,0,2,-2,CALL,0,"['9s', '4h']","['4d', 'As']","['9h', '5s']",,,2,2
19,Flop,1,2,-2,DISCARD,0,"['9s', '4h']","['4d', 'As']","['9h', '5s', '2d']",,,4,4
19,Flop,1,2,-2,CHECK,0,"['9s', '4h']","['7h', 'As']","['9h', '5s', '2d']",,4d,4,4
19,Flop,0,2,-2,RAISE,14,"['9s', '4h']","['7h', 'As']","['9h', '5s', '2d']",,4d,4,4
19,Flop,1,2,-2,FOLD,0,"['9s', '4h']","['7h', 'As']","['9h', '5s', '2d']",,4d,4,4
20,Pre-Flop,0,6,-6,FOLD,0,"['3h', '2s']","['7h', '2d']","['7s', '6d']",,,1,1
21,Pre-Flop,1,5,-5,RAISE,2,"['8d', '5s']","['4d', 'Ah']","['9s', '6h']",,,1,1
21,Pre-Flop,0,5,-5,CALL,0,"['8d', '5s']","['4d', 'Ah']","['9s', '6h']",,,2,2
21,Flop,1,5,-5,DISCARD,0,"['8d', '5s']","['4d', 'Ah']","['9s', '6h', '7s']",,,4,4
21,Flop,1,5,-5,CHECK,0,"['8d', '5s']","['5d', 'Ah']","['9s', '6h', '7s']",,4d,4,4
21,Flop,0,5,-5,RAISE,14,"['8d', '5s']","['5d', 'Ah']","['9s', '6h', '7s']",,4d,4,4
21,Flop,1,5,-5,FOLD,0,"['8d', '5s']","['5d', 'Ah']","['9s', '6h', '7s']",,4d,4,4
22,Pre-Flop,0,9,-9,CALL,0,"['Ah', '4d']","['Ad', '4h']","['8h', '6d']",,,1,1
22,Pre-Flop,1,9,-9,CHECK,0,"['Ah', '4d']","['Ad', '4h']","['8h', '6d']",,,2,2
22,Flop,0,9,-9,CHECK,0,"['Ah', '4d']","['Ad', '4h']","['8h', '6d', '3h']",,,2,2
22,Flop,1,9,-9,DISCARD,0,"['Ah', '4d']","['Ad', '4h']","['8h', '6d', '3h']",,,2,2
22,Flop,1,9,-9,RAISE,2,"['Ah', '4d']","['2h', '4h']","['8h', '6d', '3h']",,Ad,2,2
22,Flop,0,9,-9,FOLD,0,"['Ah', '4d']","['2h', '4h']","['8h', '6d', '3h']",,Ad,2,2
23,Pre-Flop,1,7,-7,RAISE,2,"['2h', '6s']","['8h', 'As']","['8s', '7s']",,,1,1
23,Pre-Flop,0,7,-7,FOLD,0,"['2h', '6s']","['8h', 'As']","['8s', '7s']",,,2,2
24,Pre-Flop,0,5,-5,RAISE,2,"['9h', 'As']","['7h', '6d']","['6s', '4s']",,,1,1
24,Pre-Flop,1,5,-5,RAISE,4,"['9h', 'As']","['7h', '6d']","['6s', '4s']",,,2,2
24,Pre-Flop,0,5,-5,RAISE,9,"['9h', 'As']","['7h', '6d']","['6s', '4s']",,,4,4
24,Pre-Flop,1,5,-5,CALL,0,"['9h', 'As']","['7h', '6d']","['6s', '4s']",,,8,8
24,Flop,0,5,-5,RAISE,40,"['9h', 'As']","['7h', '6d']","['6s', '4s', '8s']",,,17,17
24,Flop,1,5,-5,DISCARD,0,"['9h', 'As']","['7h', '6d']","['6s', '4s', '8s']",,,17,17
24,Flop,1,5,-5,FOLD,0,"['9h', 'As']","['3d', '6d']","['6s', '4s', '8s']",,7h,17,17
25,Pre-Flop,1,22,-22,RAISE,2,"['9s', '9d']","['5s', 'As']","['8s', 'Ah']",,,1,1
25,Pre-Flop,0,22,-22,RAISE,4,"['9s', '9d']","['5s', 'As']","['8s', 'Ah']",,,2,2
25,Pre-Flop,1,22,-22,RAISE,8,"['9s', '9d']","['5s', 'As']","['8s', 'Ah']",,,4,4
25,Pre-Flop,0,22,-22,RAISE,19,"['9s', '9d']","['5s', 'As']","['8s', 'Ah']",,,8,8
25,Pre-Flop,1,22,-22,CALL,0,"['9s', '9d']","['5s', 'As']","['8s', 'Ah']",,,16,16
25,Flop,1,22,-22,CHECK,0,"['9s', '9d']","['5s', 'As']","['8s', 'Ah', '6d']",,,35,35
25,Flop,0,22,-22,RAISE,65,"['9s', '9d']","['5s', 'As']","['8s', 'Ah', '6d']",,,35,35
25,Flop,1,22,-22,FOLD,0,"['9s', '9d']","['5s', 'As']","['8s', 'Ah', '6d']",,,35,35
26,Pre-Flop,0,57,-57,FOLD,0,"['2d', '4h']","['8d', '8h']","['6h', '5h']",,,1,1
27,Pre-Flop,1,56,-56,RAISE,2,"['2h', '9s']","['5d', '7h']","['5h', '4s']",,,1,1
27,Pre-Flop,0,56,-56,FOLD,0,"['2h', '9s']","['5d', '7h']","['5h', '4s']",,,2,2
28,Pre-Flop,0,54,-54,FOLD,0,"['3s', '8d']","['9h', '6h']","['4h', '6d']",,,1,1
29,Pre-Flop,1,53,-53,DISCARD,0,"['As', '3s']","['5d', '2h']","['4d', 'Ad']",,,1,1
29,Pre-Flop,1,53,-53,RAISE,2,"['As', '3s']","['5d', '9d']","['4d', 'Ad']",,2h,1,1
29,Pre-Flop,0,53,-53,CALL,0,"['As', '3s']","['5d', '9d']","['4d', 'Ad']",,2h,2,2
29,Flop,1,53,-53,RAISE,4,"['As', '3s']","['5d', '9d']","['4d', 'Ad', '6h']",,2h,4,4
29,Flop,0,53,-53,FOLD,0,"['As', '3s']","['5d', '9d']","['4d', 'Ad', '6h']",,2h,4,4
30,Pre-Flop,0,49,-49,CALL,0,"['5s', '9d']","['3h', '2h']","['5h', '6d']",,,1,1
30,Pre-Flop,1,49,-49,DISCARD,0,"['5s', '9d']","['3h', '2h']","['5h', '6d']",,,2,2
30,Pre-Flop,1,49,-49,CHECK,0,"['5s', '9d']","['3h', '4d']","['5h', '6d']",,2h,2,2
30,Flop,0,49,-49,CHECK,0,"['5s', '9d']","['3h', '4d']","['5h', '6d', '4s']",,2h,2,2
30,Flop,1,49,-49,CHECK,0,"['5s', '9d']","['3h', '4d']","['5h', '6d', '4s']",,2h,2,2
30,Turn,0,49,-49,CHECK,0,"['5s', '9d']","['3h', '4d']","['5h', '6d', '4s', '2d']",,2h,2,2
30,Turn,1,49,-49,RAISE,2,"['5s', '9d']","['3h', '4d']","['5h', '6d', '4s', '2d']",,2h,2,2
30,Turn,0,49,-49,FOLD,0,"['5s', '9d']","['3h', '4d']","['5h', '6d', '4s', '2d']",,2h,2,2
31,Pre-Flop,1,47,-47,DISCARD,0,"['2d', '8h']","['6s', '2h']","['7h', '3s']",,,1,1
31,Pre-Flop,1,47,-47,CALL,0,"['2d', '8h']","['6s', '4h']","['7h', '3s']",,2h,1,1
31,Pre-Flop,0,47,-47,CHECK,0,"['2d', '8h']","['6s', '4h']","['7h', '3s']",,2h,2,2
31,Flop,1,47,-47,CHECK,0,"['2d', '8h']","['6s', '4h']","['7h', '3s', '7d']",,2h,2,2
31,Flop,0,47,-47,DISCARD,0,"['2d', '8h']","['6s', '4h']","['7h', '3s', '7d']",,2h,2,2
31,Flop,0,47,-47,CHECK,0,"['2d', '5s']","['6s', '4h']","['7h', '3s', '7d']",8h,2h,2,2
31,Turn,1,47,-47,RAISE,2,"['2d', '5s']","['6s', '4h']","['7h', '3s', '7d', '6d']",8h,2h,2,2
31,Turn,0,47,-47,FOLD,0,"['2d', '5s']","['6s', '4h']","['7h', '3s', '7d', '6d']",8h,2h,2,2
32,Pre-Flop,0,45,-45,CALL,0,"['8d', '3d']","['2d', 'As']","['Ad', '9d']",,,1,1
32,Pre-Flop,1,45,-45,DISCARD,0,"['8d', '3d']","['2d', 'As']","['Ad', '9d']",,,2,2
32,Pre-Flop,1,45,-45,RAISE,3,"['8d', '3d']","['6d', 'As']","['Ad', '9d']",,2d,2,2
32,Pre-Flop,0,45,-45,FOLD,0,"['8d', '3d']","['6d', 'As']","['Ad', '9d']",,2d,2,2
33,Pre-Flop,1,43,-43,DISCARD,0,"['7h', '9s']","['3d', '3h']","['7d', '6d']",,,1,1
33,Pre-Flop,1,43,-43,CALL,0,"['7h', '9s']","['3d', '3s']","['7d', '6d']",,3h,1,1
33,Pre-Flop,0,43,-43,RAISE,3,"['7h', '9s']","['3d', '3s']","['7d', '6d']",,3h,2,2
33,Pre-Flop,1,43,-43,CALL,0,"['7h', '9s']","['3d', '3s']","['7d', '6d']",,3h,2,2
33,Flop,1,43,-43,CHECK,0,"['7h', '9s']","['3d', '3s']","['7d', '6d', '8d']",,3h,5,5
33,Flop,0,43,-43,RAISE,12,"['7h', '9s']","['3d', '3s']","['7d', '6d', '8d']",,3h,5,5
33,Flop,1,43,-43,FOLD,0,"['7h', '9s']","['3d', '3s']","['7d', '6d', '8d']",,3h,5,5
34,Pre-Flop,0,48,-48,RAISE,2,"['8h', 'Ah']","['6h', '7s']","['5d', '7h']",,,1,1
34,Pre-Flop,1,48,-48,RAISE,4,"['8h', 'Ah']","['6h', '7s']","['5d', '7h']",,,2,2
34,Pre-Flop,0,48,-48,RAISE,9,"['8h', 'Ah']","['6h', '7s']","['5d', '7h']",,,4,4
34,Pre-Flop,1,48,-48,CALL,0,"['8h', 'Ah']","['6h', '7s']","['5d', '7h']",,,8,8
34,Flop,0,48,-48,CHECK,0,"['8h', 'Ah']","['6h', '7s']","['5d', '7h', '4s']",,,17,17
34,Flop,1,48,-48,RAISE,13,"['8h', 'Ah']","['6h', '7s']","['5d', '7h', '4s']",,,17,17
34,Flop,0,48,-48,FOLD,0,"['8h', 'Ah']","['6h', '7s']","['5d', '7h', '4s']",,,17,17
35,Pre-Flop,1,31,-31,RAISE,2,"['6h', '9s']","['6d', '8h']","['8d', '8s']",,,1,1
35,Pre-Flop,0,31,-31,RAISE,4,"['6h', '9s']","['6d', '8h']","['8d', '8s']",,,2,2
35,Pre-Flop,1,31,-31,RAISE,8,"['6h', '9s']","['6d', '8h']","['8d', '8s']",,,4,4
35,Pre-Flop,0,31,-31,RAISE,19,"['6h', '9s']","['6d', '8h']","['8d', '8s']",,,8,8
35,Pre-Flop,1,31,-31,CALL,0,"['6h', '9s']","['6d', '8h']","['8d', '8s']",,,16,16
35,Flop,1,31,-31,RAISE,3,"['6h', '9s']","['6d', '8h']","['8d', '8s', '7h']",,,35,35
35,Flop,0,31,-31,CALL,0,"['6h', '9s']","['6d', '8h']","['8d', '8s', '7h']",,,35,35
35,Turn,1,31,-31,RAISE,2,"['6h', '9s']","['6d', '8h']","['8d', '8s', '7h', '6s']",,,38,38
35,Turn,0,31,-31,FOLD,0,"['6h', '9s']","['6d', '8h']","['8d', '8s', '7h', '6s']",,,38,38
36,Pre-Flop,0,-7,7,CALL,0,"['5h', '9s']","['As', '4d']","['7d', '4s']",,,1,1
36,Pre-Flop,1,-7,7,RAISE,3,"['5h', '9s']","['As', '4d']","['7d', '4s']",,,2,2
36,Pre-Flop,0,-7,7,CALL,0,"['5h', '9s']","['As', '4d']","['7d', '4s']",,,2,2
36,Flop,0,-7,7,CHECK,0,"['5h', '9s']","['As', '4d']","['7d', '4s', '6s']",,,5,5
36,Flop,1,-7,7,DISCARD,0,"['5h', '9s']","['As', '4d']","['7d', '4s', '6s']",,,5,5
36,Flop,1,-7,7,RAISE,6,"['5h', '9s']","['As', 'Ah']","['7d', '4s', '6s']",,4d,5,5
36,Flop,0,-7,7,FOLD,0,"['5h', '9s']","['As', 'Ah']","['7d', '4s', '6s']",,4d,5,5
37,Pre-Flop,1,-12,12,DISCARD,0,"['7h', '9d']","['2d', '3s']","['6h', '4d']",,,1,1
37,Pre-Flop,1,-12,12,CALL,0,"['7h', '9d']","['6s', '3s']","['6h', '4d']",,2d,1,1
37,Pre-Flop,0,-12,12,RAISE,3,"['7h', '9d']","['6s', '3s']","['6h', '4d']",,2d,2,2
37,Pre-Flop,1,-12,12,CALL,0,"['7h', '9d']","['6s', '3s']","['6h', '4d']",,2d,2,2
37,Flop,1,-12,12,CHECK,0,"['7h', '9d']","['6s', '3s']","['6h', '4d', '8d']",,2d,5,5
37,Flop,0,-12,12,CHECK,0,"['7h', '9d']","['6s', '3s']","['6h', '4d', '8d']",,2d,5,5
37,Turn,1,-12,12,CHECK,0,"['7h', '9d']","['6s', '3s']","['6h', '4d', '8d', '8s']",,2d,5,5
