# Team 0: Flushed Faces, Team 1: Quantum Bluff
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,DISCARD,0,"['4s', '2s']","['6d', 'As']","['9s', '3h']",,,1,1
0,Pre-Flop,0,0,0,CALL,0,"['4s', '5h']","['6d', 'As']","['9s', '3h']",2s,,1,1
0,Pre-Flop,1,0,0,RAISE,2,"['4s', '5h']","['6d', 'As']","['9s', '3h']",2s,,2,2
0,Pre-Flop,0,0,0,CALL,0,"['4s', '5h']","['6d', 'As']","['9s', '3h']",2s,,2,2
0,Flop,0,0,0,CHECK,0,"['4s', '5h']","['6d', 'As']","['9s', '3h', '5d']",2s,,4,4
0,Flop,1,0,0,DISCARD,0,"['4s', '5h']","['6d', 'As']","['9s', '3h', '5d']",2s,,4,4
0,Flop,1,0,0,CHECK,0,"['4s', '5h']","['6d', '3s']","['9s', '3h', '5d']",2s,As,4,4
0,Turn,0,0,0,RAISE,2,"['4s', '5h']","['6d', '3s']","['9s', '3h', '5d', '9h']",2s,As,4,4
0,Turn,1,0,0,FOLD,0,"['4s', '5h']","['6d', '3s']","['9s', '3h', '5d', '9h']",2s,As,4,4
1,Pre-Flop,1,4,-4,RAISE,2,"['3h', '6s']","['9s', '7s']","['9d', '4s']",,,1,1
1,Pre-Flop,0,4,-4,DISCARD,0,"['3h', '6s']","['9s', '7s']","['9d', '4s']",,,2,2
1,Pre-Flop,0,4,-4,CALL,0,"['2s', '6s']","['9s', '7s']","['9d', '4s']",3h,,2,2
1,Flop,1,4,-4,RAISE,6,"['2s', '6s']","['9s', '7s']","['9d', '4s', '7d']",3h,,4,4
1,Flop,0,4,-4,FOLD,0,"['2s', '6s']","['9s', '7s']","['9d', '4s', '7d']",3h,,4,4
2,Pre-Flop,0,0,0,DISCARD,0,"['7h', '2h']","['3s', '3h']","['8d', '2d']",,,1,1
2,Pre-Flop,0,0,0,RAISE,2,"['7h', '5h']","['3s', '3h']","['8d', '2d']",2h,,1,1
2,Pre-Flop,1,0,0,FOLD,0,"['7h', '5h']","['3s', '3h']","['8d', '2d']",2h,,2,2
3,Pre-Flop,1,2,-2,RAISE,2,"['4d', '5s']","['2s', '4s']","['4h', '3h']",,,1,1
