# Team 0: Flushed Faces, Team 1: Poker Face
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,0,"['3d', '8s']","['2h', '7s']","['4d', '5d']",,,1,1
0,Pre-Flop,1,0,0,CHECK,0,"['3d', '8s']","['2h', '7s']","['4d', '5d']",,,2,2
0,Flop,0,0,0,CHECK,0,"['3d', '8s']","['2h', '7s']","['4d', '5d', 'Ah']",,,2,2
0,Flop,1,0,0,CHECK,0,"['3d', '8s']","['2h', '7s']","['4d', '5d', 'Ah']",,,2,2
0,Turn,0,0,0,CHECK,0,"['3d', '8s']","['2h', '7s']","['4d', '5d', 'Ah', '3h']",,,2,2
0,Turn,1,0,0,CHECK,0,"['3d', '8s']","['2h', '7s']","['4d', '5d', 'Ah', '3h']",,,2,2
0,River,0,0,0,CHECK,0,"['3d', '8s']","['2h', '7s']","['4d', '5d', 'Ah', '3h', '8d']",,,2,2
0,River,1,0,0,CHECK,0,"['3d', '8s']","['2h', '7s']","['4d', '5d', 'Ah', '3h', '8d']",,,2,2
1,Pre-Flop,1,-2,2,CALL,0,"['9d', '2h']","['8h', '6s']","['Ad', '3h']",,,1,1
1,Pre-Flop,0,-2,2,CHECK,0,"['9d', '2h']","['8h', '6s']","['Ad', '3h']",,,2,2
1,Flop,1,-2,2,CHECK,0,"['9d', '2h']","['8h', '6s']","['Ad', '3h', '7d']",,,2,2
1,Flop,0,-2,2,DISCARD,0,"['9d', '2h']","['8h', '6s']","['Ad', '3h', '7d']",,,2,2
1,Flop,0,-2,2,CHECK,0,"['9d', '3s']","['8h', '6s']","['Ad', '3h', '7d']",2h,,2,2
1,Turn,1,-2,2,RAISE,4,"['9d', '3s']","['8h', '6s']","['Ad', '3h', '7d', '9s']",2h,,2,2
1,Turn,0,-2,2,RAISE,17,"['9d', '3s']","['8h', '6s']","['Ad', '3h', '7d', '9s']",2h,,2,2
1,Turn,1,-2,2,RAISE,29,"['9d', '3s']","['8h', '6s']","['Ad', '3h', '7d', '9s']",2h,,6,6
1,Turn,0,-2,2,RAISE,48,"['9d', '3s']","['8h', '6s']","['Ad', '3h', '7d', '9s']",2h,,23,23
1,Turn,1,-2,2,CALL,0,"['9d', '3s']","['8h', '6s']","['Ad', '3h', '7d', '9s']",2h,,52,52
1,River,1,-2,2,CHECK,0,"['9d', '3s']","['8h', '6s']","['Ad', '3h', '7d', '9s', '6d']",2h,,100,100
1,River,0,-2,2,CHECK,0,"['9d', '3s']","['8h', '6s']","['Ad', '3h', '7d', '9s', '6d']",2h,,100,100
2,Pre-Flop,0,-102,102,CALL,0,"['5s', '3s']","['9s', '2s']","['Ah', '3d']",,,1,1
2,Pre-Flop,1,-102,102,CHECK,0,"['5s', '3s']","['9s', '2s']","['Ah', '3d']",,,2,2
2,Flop,0,-102,102,CHECK,0,"['5s', '3s']","['9s', '2s']","['Ah', '3d', '4h']",,,2,2
2,Flop,1,-102,102,CHECK,98,"['5s', '3s']","['9s', '2s']","['Ah', '3d', '4h']",,,2,2
2,Turn,0,-102,102,RAISE,9,"['5s', '3s']","['9s', '2s']","['Ah', '3d', '4h', '2h']",,,2,2
2,Turn,1,-102,102,FOLD,0,"['5s', '3s']","['9s', '2s']","['Ah', '3d', '4h', '2h']",,,2,2
3,Pre-Flop,1,-100,100,DISCARD,0,"['8d', '7d']","['3h', '7s']","['4h', '5s']",,,1,1
3,Pre-Flop,1,-100,100,CALL,0,"['8d', '7d']","['6d', '7s']","['4h', '5s']",,3h,1,1
3,Pre-Flop,0,-100,100,RAISE,7,"['8d', '7d']","['6d', '7s']","['4h', '5s']",,3h,2,2
3,Pre-Flop,1,-100,100,CALL,0,"['8d', '7d']","['6d', '7s']","['4h', '5s']",,3h,2,2
3,Flop,1,-100,100,CHECK,0,"['8d', '7d']","['6d', '7s']","['4h', '5s', '6h']",,3h,9,9
3,Flop,0,-100,100,RAISE,91,"['8d', '7d']","['6d', '7s']","['4h', '5s', '6h']",,3h,9,9
3,Flop,1,-100,100,FOLD,0,"['8d', '7d']","['6d', '7s']","['4h', '5s', '6h']",,3h,9,9
4,Pre-Flop,0,-91,91,RAISE,2,"['5h', '5d']","['3h', '9s']","['2h', '5s']",,,1,1
4,Pre-Flop,1,-91,91,DISCARD,0,"['5h', '5d']","['3h', '9s']","['2h', '5s']",,,2,2
4,Pre-Flop,1,-91,91,RAISE,4,"['5h', '5d']","['8h', '9s']","['2h', '5s']",,3h,2,2
4,Pre-Flop,0,-91,91,CALL,0,"['5h', '5d']","['8h', '9s']","['2h', '5s']",,3h,4,4
4,Flop,0,-91,91,RAISE,47,"['5h', '5d']","['8h', '9s']","['2h', '5s', '6h']",,3h,8,8
4,Flop,1,-91,91,FOLD,0,"['5h', '5d']","['8h', '9s']","['2h', '5s', '6h']",,3h,8,8
5,Pre-Flop,1,-83,83,DISCARD,0,"['3s', '9d']","['2s', '8d']","['Ah', '6d']",,,1,1
5,Pre-Flop,1,-83,83,FOLD,0,"['3s', '9d']","['5h', '8d']","['Ah', '6d']",,2s,1,1
6,Pre-Flop,0,-82,82,CALL,0,"['9h', '4d']","['8d', '6d']","['3s', '6s']",,,1,1
6,Pre-Flop,1,-82,82,RAISE,2,"['9h', '4d']","['8d', '6d']","['3s', '6s']",,,2,2
