# Team 0: Quantum Bluff, Team 1: Flushed Faces
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,FOLD,0,"['2d', '5h']","['9d', '7h']","['2s', '7d']",,,1,1
1,Pre-Flop,1,-1,1,RAISE,2,"['2d', '6s']","['5d', '7h']","['6d', '4h']",,,1,1
1,Pre-Flop,0,-1,1,FOLD,0,"['2d', '6s']","['5d', '7h']","['6d', '4h']",,,2,2
2,Pre-Flop,0,-3,3,RAISE,2,"['9s', '8s']","['Ad', '4d']","['8h', '4h']",,,1,1
2,Pre-Flop,1,-3,3,RAISE,5,"['9s', '8s']","['Ad', '4d']","['8h', '4h']",,,2,2
2,Pre-Flop,0,-3,3,RAISE,9,"['9s', '8s']","['Ad', '4d']","['8h', '4h']",,,4,4
2,Pre-Flop,1,-3,3,RAISE,25,"['9s', '8s']","['Ad', '4d']","['8h', '4h']",,,9,9
2,Pre-Flop,0,-3,3,RAISE,43,"['9s', '8s']","['Ad', '4d']","['8h', '4h']",,,18,18
2,Pre-Flop,1,-3,3,RAISE,14,"['9s', '8s']","['Ad', '4d']","['8h', '4h']",,,43,43
2,Pre-Flop,0,-3,3,CALL,0,"['9s', '8s']","['Ad', '4d']","['8h', '4h']",,,86,86
2,Flop,0,-3,3,CHECK,0,"['9s', '8s']","['Ad', '4d']","['8h', '4h', '6d']",,,100,100
2,Flop,1,-3,3,CHECK,0,"['9s', '8s']","['Ad', '4d']","['8h', '4h', '6d']",,,100,100
2,Turn,0,-3,3,CHECK,0,"['9s', '8s']","['Ad', '4d']","['8h', '4h', '6d', '9h']",,,100,100
2,Turn,1,-3,3,CHECK,0,"['9s', '8s']","['Ad', '4d']","['8h', '4h', '6d', '9h']",,,100,100
2,River,0,-3,3,CHECK,0,"['9s', '8s']","['Ad', '4d']","['8h', '4h', '6d', '9h', '8d']",,,100,100
2,River,1,-3,3,CHECK,0,"['9s', '8s']","['Ad', '4d']","['8h', '4h', '6d', '9h', '8d']",,,100,100
3,Pre-Flop,1,97,-97,CALL,0,"['9s', '9d']","['2d', '8s']","['6d', '4s']",,,1,1
3,Pre-Flop,0,97,-97,CHECK,0,"['9s', '9d']","['2d', '8s']","['6d', '4s']",,,2,2
3,Flop,1,97,-97,CHECK,0,"['9s', '9d']","['2d', '8s']","['6d', '4s', '5s']",,,2,2
3,Flop,0,97,-97,CHECK,0,"['9s', '9d']","['2d', '8s']","['6d', '4s', '5s']",,,2,2
3,Turn,1,97,-97,CHECK,0,"['9s', '9d']","['2d', '8s']","['6d', '4s', '5s', 'Ad']",,,2,2
3,Turn,0,97,-97,CHECK,0,"['9s', '9d']","['2d', '8s']","['6d', '4s', '5s', 'Ad']",,,2,2
3,River,1,97,-97,RAISE,98,"['9s', '9d']","['2d', '8s']","['6d', '4s', '5s', 'Ad', '7h']",,,2,2
3,River,0,97,-97,FOLD,0,"['9s', '9d']","['2d', '8s']","['6d', '4s', '5s', 'Ad', '7h']",,,2,2
4,Pre-Flop,0,95,-95,RAISE,2,"['6h', 'Ad']","['8h', '5s']","['6d', '9d']",,,1,1
4,Pre-Flop,1,95,-95,RAISE,4,"['6h', 'Ad']","['8h', '5s']","['6d', '9d']",,,2,2
4,Pre-Flop,0,95,-95,RAISE,8,"['6h', 'Ad']","['8h', '5s']","['6d', '9d']",,,4,4
4,Pre-Flop,1,95,-95,CALL,0,"['6h', 'Ad']","['8h', '5s']","['6d', '9d']",,,8,8
4,Flop,0,95,-95,RAISE,16,"['6h', 'Ad']","['8h', '5s']","['6d', '9d', '3d']",,,16,16
4,Flop,1,95,-95,DISCARD,0,"['6h', 'Ad']","['8h', '5s']","['6d', '9d', '3d']",,,16,16
4,Flop,1,95,-95,RAISE,51,"['6h', 'Ad']","['5d', '5s']","['6d', '9d', '3d']",,8h,16,16
4,Flop,0,95,-95,DISCARD,0,"['6h', 'Ad']","['5d', '5s']","['6d', '9d', '3d']",,8h,32,32
4,Flop,0,95,-95,FOLD,0,"['7s', 'Ad']","['5d', '5s']","['6d', '9d', '3d']",6h,8h,32,32
5,Pre-Flop,1,63,-63,RAISE,2,"['4h', '7s']","['5s', '8s']","['5d', '9d']",,,1,1
5,Pre-Flop,0,63,-63,RAISE,4,"['4h', '7s']","['5s', '8s']","['5d', '9d']",,,2,2
5,Pre-Flop,1,63,-63,RAISE,9,"['4h', '7s']","['5s', '8s']","['5d', '9d']",,,4,4
5,Pre-Flop,0,63,-63,CALL,0,"['4h', '7s']","['5s', '8s']","['5d', '9d']",,,8,8
5,Flop,1,63,-63,RAISE,40,"['4h', '7s']","['5s', '8s']","['5d', '9d', 'As']",,,17,17
5,Flop,0,63,-63,DISCARD,0,"['4h', '7s']","['5s', '8s']","['5d', '9d', 'As']",,,17,17
5,Flop,0,63,-63,FOLD,0,"['3s', '7s']","['5s', '8s']","['5d', '9d', 'As']",4h,,17,17
6,Pre-Flop,0,46,-46,RAISE,2,"['5s', '2s']","['8s', '8d']","['7d', '6h']",,,1,1
6,Pre-Flop,1,46,-46,RAISE,8,"['5s', '2s']","['8s', '8d']","['7d', '6h']",,,2,2
6,Pre-Flop,0,46,-46,CALL,0,"['5s', '2s']","['8s', '8d']","['7d', '6h']",,,4,4
6,Flop,0,46,-46,DISCARD,0,"['5s', '2s']","['8s', '8d']","['7d', '6h', '6s']",,,12,12
