# Team 0: PlayerAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,0,"['3s', '4s']","['6h', '6d']","['Ah', '9h']",,,1,1
0,Pre-Flop,1,0,0,RAISE,2,"['3s', '4s']","['6h', '6d']","['Ah', '9h']",,,2,2
0,Pre-Flop,0,0,0,CALL,0,"['3s', '4s']","['6h', '6d']","['Ah', '9h']",,,2,2
0,Flop,0,0,0,DISCARD,0,"['3s', '4s']","['6h', '6d']","['Ah', '9h', '2h']",,,4,4
0,Flop,0,0,0,RAISE,9,"['Ad', '4s']","['6h', '6d']","['Ah', '9h', '2h']",3s,,4,4
0,Flop,1,0,0,CALL,0,"['Ad', '4s']","['6h', '6d']","['Ah', '9h', '2h']",3s,,4,4
0,Turn,0,0,0,RAISE,20,"['Ad', '4s']","['6h', '6d']","['Ah', '9h', '2h', '3d']",3s,,13,13
0,Turn,1,0,0,FOLD,0,"['Ad', '4s']","['6h', '6d']","['Ah', '9h', '2h', '3d']",3s,,13,13
1,Pre-Flop,1,13,-13,RAISE,2,"['7s', '9s']","['8s', 'As']","['3h', '3d']",,,1,1
1,Pre-Flop,0,13,-13,RAISE,6,"['7s', '9s']","['8s', 'As']","['3h', '3d']",,,2,2
1,Pre-Flop,1,13,-13,RAISE,10,"['7s', '9s']","['8s', 'As']","['3h', '3d']",,,4,4
1,Pre-Flop,0,13,-13,RAISE,20,"['7s', '9s']","['8s', 'As']","['3h', '3d']",,,10,10
1,Pre-Flop,1,13,-13,CALL,0,"['7s', '9s']","['8s', 'As']","['3h', '3d']",,,20,20
1,Flop,1,13,-13,CHECK,0,"['7s', '9s']","['8s', 'As']","['3h', '3d', '8d']",,,40,40
1,Flop,0,13,-13,CHECK,0,"['7s', '9s']","['8s', 'As']","['3h', '3d', '8d']",,,40,40
1,Turn,1,13,-13,RAISE,4,"['7s', '9s']","['8s', 'As']","['3h', '3d', '8d', '3s']",,,40,40
1,Turn,0,13,-13,CALL,0,"['7s', '9s']","['8s', 'As']","['3h', '3d', '8d', '3s']",,,40,40
1,River,1,13,-13,RAISE,2,"['7s', '9s']","['8s', 'As']","['3h', '3d', '8d', '3s', '6d']",,,44,44
1,River,0,13,-13,CALL,0,"['7s', '9s']","['8s', 'As']","['3h', '3d', '8d', '3s', '6d']",,,44,44
2,Pre-Flop,0,-33,33,CALL,0,"['5s', '3h']","['8s', '8d']","['7d', 'Ad']",,,1,1
2,Pre-Flop,1,-33,33,RAISE,2,"['5s', '3h']","['8s', '8d']","['7d', 'Ad']",,,2,2
2,Pre-Flop,0,-33,33,CALL,0,"['5s', '3h']","['8s', '8d']","['7d', 'Ad']",,,2,2
2,Flop,0,-33,33,DISCARD,0,"['5s', '3h']","['8s', '8d']","['7d', 'Ad', '5d']",,,4,4
2,Flop,0,-33,33,RAISE,17,"['5s', '5h']","['8s', '8d']","['7d', 'Ad', '5d']",3h,,4,4
2,Flop,1,-33,33,RAISE,17,"['5s', '5h']","['8s', '8d']","['7d', 'Ad', '5d']",3h,,4,4
