# Team 0: Flushed Faces, Team 1: DeepBluffs
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,CALL,0,"['3d', 'As']","['2s', '4d']","['Ah', '6h']",,,1,1
0,Pre-Flop,1,0,0,CHECK,0,"['3d', 'As']","['2s', '4d']","['Ah', '6h']",,,2,2
0,Flop,0,0,0,RAISE,21,"['3d', 'As']","['2s', '4d']","['Ah', '6h', '4s']",,,2,2
0,Flop,1,0,0,DISCARD,0,"['3d', 'As']","['2s', '4d']","['Ah', '6h', '4s']",,,2,2
0,Flop,1,0,0,FOLD,0,"['3d', 'As']","['6s', '4d']","['Ah', '6h', '4s']",,2s,2,2
1,Pre-Flop,1,2,-2,CALL,0,"['3d', '8h']","['Ad', '6s']","['9d', '3s']",,,1,1
1,Pre-Flop,0,2,-2,DISCARD,0,"['3d', '8h']","['Ad', '6s']","['9d', '3s']",,,2,2
1,Pre-Flop,0,2,-2,CHECK,0,"['4s', '8h']","['Ad', '6s']","['9d', '3s']",3d,,2,2
1,Flop,1,2,-2,DISCARD,0,"['4s', '8h']","['Ad', '6s']","['9d', '3s', '9h']",3d,,2,2
1,Flop,1,2,-2,CHECK,0,"['4s', '8h']","['Ad', '2h']","['9d', '3s', '9h']",3d,6s,2,2
1,Flop,0,2,-2,CHECK,0,"['4s', '8h']","['Ad', '2h']","['9d', '3s', '9h']",3d,6s,2,2
1,Turn,1,2,-2,CHECK,0,"['4s', '8h']","['Ad', '2h']","['9d', '3s', '9h', '2d']",3d,6s,2,2
1,Turn,0,2,-2,CHECK,0,"['4s', '8h']","['Ad', '2h']","['9d', '3s', '9h', '2d']",3d,6s,2,2
1,River,1,2,-2,CHECK,0,"['4s', '8h']","['Ad', '2h']","['9d', '3s', '9h', '2d', 'Ah']",3d,6s,2,2
1,River,0,2,-2,CHECK,0,"['4s', '8h']","['Ad', '2h']","['9d', '3s', '9h', '2d', 'Ah']",3d,6s,2,2
2,Pre-Flop,0,0,0,CALL,0,"['4h', 'Ah']","['7s', 'As']","['2d', '8s']",,,1,1
2,Pre-Flop,1,0,0,RAISE,2,"['4h', 'Ah']","['7s', 'As']","['2d', '8s']",,,2,2
2,Pre-Flop,0,0,0,CALL,0,"['4h', 'Ah']","['7s', 'As']","['2d', '8s']",,,2,2
2,Flop,0,0,0,DISCARD,0,"['4h', 'Ah']","['7s', 'As']","['2d', '8s', '9s']",,,4,4
2,Flop,0,0,0,RAISE,48,"['9h', 'Ah']","['7s', 'As']","['2d', '8s', '9s']",4h,,4,4
2,Flop,1,0,0,FOLD,0,"['9h', 'Ah']","['7s', 'As']","['2d', '8s', '9s']",4h,,4,4
3,Pre-Flop,1,4,-4,CALL,0,"['6h', '4s']","['2h', '5h']","['9d', '3d']",,,1,1
3,Pre-Flop,0,4,-4,DISCARD,0,"['6h', '4s']","['2h', '5h']","['9d', '3d']",,,2,2
3,Pre-Flop,0,4,-4,CHECK,0,"['6h', 'Ad']","['2h', '5h']","['9d', '3d']",4s,,2,2
3,Flop,1,4,-4,DISCARD,0,"['6h', 'Ad']","['2h', '5h']","['9d', '3d', '9s']",4s,,2,2
3,Flop,1,4,-4,CHECK,0,"['6h', 'Ad']","['Ah', '5h']","['9d', '3d', '9s']",4s,2h,2,2
3,Flop,0,4,-4,CHECK,0,"['6h', 'Ad']","['Ah', '5h']","['9d', '3d', '9s']",4s,2h,2,2
3,Turn,1,4,-4,CHECK,0,"['6h', 'Ad']","['Ah', '5h']","['9d', '3d', '9s', '2d']",4s,2h,2,2
3,Turn,0,4,-4,RAISE,4,"['6h', 'Ad']","['Ah', '5h']","['9d', '3d', '9s', '2d']",4s,2h,2,2
3,Turn,1,4,-4,FOLD,0,"['6h', 'Ad']","['Ah', '5h']","['9d', '3d', '9s', '2d']",4s,2h,2,2
4,Pre-Flop,0,6,-6,DISCARD,0,"['9s', '2d']","['6h', 'Ad']","['3s', '7d']",,,1,1
4,Pre-Flop,0,6,-6,RAISE,2,"['9s', 'Ah']","['6h', 'Ad']","['3s', '7d']",2d,,1,1
4,Pre-Flop,1,6,-6,CALL,0,"['9s', 'Ah']","['6h', 'Ad']","['3s', '7d']",2d,,2,2
4,Flop,0,6,-6,CHECK,0,"['9s', 'Ah']","['6h', 'Ad']","['3s', '7d', '6d']",2d,,4,4
4,Flop,1,6,-6,CHECK,0,"['9s', 'Ah']","['6h', 'Ad']","['3s', '7d', '6d']",2d,,4,4
4,Turn,0,6,-6,CHECK,0,"['9s', 'Ah']","['6h', 'Ad']","['3s', '7d', '6d', '3d']",2d,,4,4
4,Turn,1,6,-6,CHECK,0,"['9s', 'Ah']","['6h', 'Ad']","['3s', '7d', '6d', '3d']",2d,,4,4
4,River,0,6,-6,CHECK,0,"['9s', 'Ah']","['6h', 'Ad']","['3s', '7d', '6d', '3d', '2h']",2d,,4,4
4,River,1,6,-6,CHECK,0,"['9s', 'Ah']","['6h', 'Ad']","['3s', '7d', '6d', '3d', '2h']",2d,,4,4
5,Pre-Flop,1,2,-2,FOLD,0,"['7d', '9h']","['6s', '5h']","['6d', '4s']",,,1,1
6,Pre-Flop,0,3,-3,CALL,0,"['8s', '5h']","['5s', '7d']","['9h', '5d']",,,1,1
6,Pre-Flop,1,3,-3,CHECK,0,"['8s', '5h']","['5s', '7d']","['9h', '5d']",,,2,2
6,Flop,0,3,-3,RAISE,2,"['8s', '5h']","['5s', '7d']","['9h', '5d', '6h']",,,2,2
6,Flop,1,3,-3,FOLD,0,"['8s', '5h']","['5s', '7d']","['9h', '5d', '6h']",,,2,2
7,Pre-Flop,1,5,-5,FOLD,0,"['8s', '7d']","['8d', '3s']","['6h', '7s']",,,1,1
8,Pre-Flop,0,6,-6,CALL,0,"['2s', 'As']","['9s', '9h']","['4d', '2h']",,,1,1
8,Pre-Flop,1,6,-6,RAISE,2,"['2s', 'As']","['9s', '9h']","['4d', '2h']",,,2,2
8,Pre-Flop,0,6,-6,CALL,0,"['2s', 'As']","['9s', '9h']","['4d', '2h']",,,2,2
8,Flop,0,6,-6,RAISE,96,"['2s', 'As']","['9s', '9h']","['4d', '2h', '2d']",,,4,4
8,Flop,1,6,-6,DISCARD,0,"['2s', 'As']","['9s', '9h']","['4d', '2h', '2d']",,,4,4
8,Flop,1,6,-6,FOLD,0,"['2s', 'As']","['3s', '9h']","['4d', '2h', '2d']",,9s,4,4
9,Pre-Flop,1,10,-10,CALL,0,"['9d', '7s']","['9h', '7d']","['4d', '5h']",,,1,1
9,Pre-Flop,0,10,-10,CHECK,0,"['9d', '7s']","['9h', '7d']","['4d', '5h']",,,2,2
9,Flop,1,10,-10,CHECK,0,"['9d', '7s']","['9h', '7d']","['4d', '5h', '7h']",,,2,2
9,Flop,0,10,-10,DISCARD,0,"['9d', '7s']","['9h', '7d']","['4d', '5h', '7h']",,,2,2
9,Flop,0,10,-10,CHECK,0,"['3d', '7s']","['9h', '7d']","['4d', '5h', '7h']",9d,,2,2
9,Turn,1,10,-10,CHECK,0,"['3d', '7s']","['9h', '7d']","['4d', '5h', '7h', '5d']",9d,,2,2
9,Turn,0,10,-10,RAISE,10,"['3d', '7s']","['9h', '7d']","['4d', '5h', '7h', '5d']",9d,,2,2
9,Turn,1,10,-10,FOLD,0,"['3d', '7s']","['9h', '7d']","['4d', '5h', '7h', '5d']",9d,,2,2
10,Pre-Flop,0,12,-12,CALL,0,"['8d', '7s']","['6s', '4s']","['Ad', '2h']",,,1,1
10,Pre-Flop,1,12,-12,CHECK,0,"['8d', '7s']","['6s', '4s']","['Ad', '2h']",,,2,2
10,Flop,0,12,-12,DISCARD,0,"['8d', '7s']","['6s', '4s']","['Ad', '2h', '3d']",,,2,2
10,Flop,0,12,-12,CHECK,0,"['8d', '8h']","['6s', '4s']","['Ad', '2h', '3d']",7s,,2,2
10,Flop,1,12,-12,DISCARD,0,"['8d', '8h']","['6s', '4s']","['Ad', '2h', '3d']",7s,,2,2
10,Flop,1,12,-12,CHECK,0,"['8d', '8h']","['7h', '4s']","['Ad', '2h', '3d']",7s,6s,2,2
10,Turn,0,12,-12,RAISE,98,"['8d', '8h']","['7h', '4s']","['Ad', '2h', '3d', '2s']",7s,6s,2,2
10,Turn,1,12,-12,FOLD,0,"['8d', '8h']","['7h', '4s']","['Ad', '2h', '3d', '2s']",7s,6s,2,2
11,Pre-Flop,1,14,-14,CALL,0,"['7d', 'Ah']","['As', '7s']","['5s', '6h']",,,1,1
11,Pre-Flop,0,14,-14,CHECK,0,"['7d', 'Ah']","['As', '7s']","['5s', '6h']",,,2,2
11,Flop,1,14,-14,CHECK,0,"['7d', 'Ah']","['As', '7s']","['5s', '6h', '9d']",,,2,2
11,Flop,0,14,-14,CHECK,0,"['7d', 'Ah']","['As', '7s']","['5s', '6h', '9d']",,,2,2
11,Turn,1,14,-14,CHECK,0,"['7d', 'Ah']","['As', '7s']","['5s', '6h', '9d', '3s']",,,2,2
11,Turn,0,14,-14,CHECK,0,"['7d', 'Ah']","['As', '7s']","['5s', '6h', '9d', '3s']",,,2,2
11,River,1,14,-14,CHECK,0,"['7d', 'Ah']","['As', '7s']","['5s', '6h', '9d', '3s', '5d']",,,2,2
