# Team 0: ekb, Team 1: Flushed Faces
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,FOLD,0,"['3d', '4h']","['5d', '5s']","['5h', '3s']",,,1,1
1,Pre-Flop,1,-1,1,RAISE,4,"['2h', 'Ad']","['6d', '6s']","['6h', '7s']",,,1,1
1,Pre-Flop,0,-1,1,CALL,0,"['2h', 'Ad']","['6d', '6s']","['6h', '7s']",,,2,2
1,Flop,1,-1,1,RAISE,29,"['2h', 'Ad']","['6d', '6s']","['6h', '7s', '9d']",,,6,6
1,Flop,0,-1,1,FOLD,0,"['2h', 'Ad']","['6d', '6s']","['6h', '7s', '9d']",,,6,6
2,Pre-Flop,0,-7,7,FOLD,0,"['2s', '4d']","['7s', '5d']","['9h', '3s']",,,1,1
3,Pre-Flop,1,-8,8,CALL,0,"['8s', '6s']","['8h', '4s']","['7d', '2s']",,,1,1
3,Pre-Flop,0,-8,8,RAISE,3,"['8s', '6s']","['8h', '4s']","['7d', '2s']",,,2,2
3,Pre-Flop,1,-8,8,CALL,0,"['8s', '6s']","['8h', '4s']","['7d', '2s']",,,2,2
3,Flop,1,-8,8,DISCARD,0,"['8s', '6s']","['8h', '4s']","['7d', '2s', '6d']",,,5,5
3,Flop,1,-8,8,RAISE,12,"['8s', '6s']","['8h', 'Ad']","['7d', '2s', '6d']",,4s,5,5
3,Flop,0,-8,8,FOLD,0,"['8s', '6s']","['8h', 'Ad']","['7d', '2s', '6d']",,4s,5,5
4,Pre-Flop,0,-13,13,CALL,0,"['4h', '9h']","['Ah', '6d']","['7h', '8h']",,,1,1
4,Pre-Flop,1,-13,13,RAISE,4,"['4h', '9h']","['Ah', '6d']","['7h', '8h']",,,2,2
4,Pre-Flop,0,-13,13,CALL,0,"['4h', '9h']","['Ah', '6d']","['7h', '8h']",,,2,2
4,Flop,0,-13,13,CHECK,0,"['4h', '9h']","['Ah', '6d']","['7h', '8h', '8d']",,,6,6
4,Flop,1,-13,13,RAISE,17,"['4h', '9h']","['Ah', '6d']","['7h', '8h', '8d']",,,6,6
4,Flop,0,-13,13,FOLD,0,"['4h', '9h']","['Ah', '6d']","['7h', '8h', '8d']",,,6,6
5,Pre-Flop,1,-19,19,CALL,0,"['8h', '6s']","['7d', '5s']","['3d', '3h']",,,1,1
5,Pre-Flop,0,-19,19,RAISE,3,"['8h', '6s']","['7d', '5s']","['3d', '3h']",,,2,2
5,Pre-Flop,1,-19,19,CALL,0,"['8h', '6s']","['7d', '5s']","['3d', '3h']",,,2,2
5,Flop,1,-19,19,DISCARD,0,"['8h', '6s']","['7d', '5s']","['3d', '3h', '2h']",,,5,5
5,Flop,1,-19,19,CHECK,0,"['8h', '6s']","['9h', '5s']","['3d', '3h', '2h']",,7d,5,5
5,Flop,0,-19,19,DISCARD,0,"['8h', '6s']","['9h', '5s']","['3d', '3h', '2h']",,7d,5,5
5,Flop,0,-19,19,CHECK,0,"['2d', '6s']","['9h', '5s']","['3d', '3h', '2h']",8h,7d,5,5
5,Turn,1,-19,19,CHECK,0,"['2d', '6s']","['9h', '5s']","['3d', '3h', '2h', '4h']",8h,7d,5,5
5,Turn,0,-19,19,CHECK,0,"['2d', '6s']","['9h', '5s']","['3d', '3h', '2h', '4h']",8h,7d,5,5
5,River,1,-19,19,CHECK,0,"['2d', '6s']","['9h', '5s']","['3d', '3h', '2h', '4h', '4d']",8h,7d,5,5
5,River,0,-19,19,CHECK,0,"['2d', '6s']","['9h', '5s']","['3d', '3h', '2h', '4h', '4d']",8h,7d,5,5
6,Pre-Flop,0,-24,24,RAISE,2,"['5d', 'Ad']","['2d', '3s']","['6s', '3h']",,,1,1
6,Pre-Flop,1,-24,24,CALL,0,"['5d', 'Ad']","['2d', '3s']","['6s', '3h']",,,2,2
6,Flop,0,-24,24,DISCARD,0,"['5d', 'Ad']","['2d', '3s']","['6s', '3h', '9h']",,,4,4
6,Flop,0,-24,24,CHECK,0,"['6h', 'Ad']","['2d', '3s']","['6s', '3h', '9h']",5d,,4,4
6,Flop,1,-24,24,DISCARD,0,"['6h', 'Ad']","['2d', '3s']","['6s', '3h', '9h']",5d,,4,4
6,Flop,1,-24,24,RAISE,16,"['6h', 'Ad']","['3d', '3s']","['6s', '3h', '9h']",5d,2d,4,4
6,Flop,0,-24,24,FOLD,0,"['6h', 'Ad']","['3d', '3s']","['6s', '3h', '9h']",5d,2d,4,4
7,Pre-Flop,1,-28,28,CALL,0,"['5h', '7d']","['Ah', '2d']","['9s', '4d']",,,1,1
7,Pre-Flop,0,-28,28,CHECK,0,"['5h', '7d']","['Ah', '2d']","['9s', '4d']",,,2,2
7,Flop,1,-28,28,CHECK,0,"['5h', '7d']","['Ah', '2d']","['9s', '4d', '9h']",,,2,2
7,Flop,0,-28,28,DISCARD,0,"['5h', '7d']","['Ah', '2d']","['9s', '4d', '9h']",,,2,2
7,Flop,0,-28,28,CHECK,0,"['6h', '7d']","['Ah', '2d']","['9s', '4d', '9h']",5h,,2,2
7,Turn,1,-28,28,CHECK,0,"['6h', '7d']","['Ah', '2d']","['9s', '4d', '9h', '3d']",5h,,2,2
7,Turn,0,-28,28,CHECK,0,"['6h', '7d']","['Ah', '2d']","['9s', '4d', '9h', '3d']",5h,,2,2
7,River,1,-28,28,CHECK,0,"['6h', '7d']","['Ah', '2d']","['9s', '4d', '9h', '3d', '2h']",5h,,2,2
