# Team 0: Poker Face, Team 1: Flushed Faces
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,DISCARD,0,"['Ah', '4s']","['2d', '3s']","['8d', 'Ad']",,,1,1
0,Pre-Flop,0,0,0,RAISE,2,"['Ah', '8s']","['2d', '3s']","['8d', 'Ad']",4s,,1,1
0,Pre-Flop,1,0,0,CALL,0,"['Ah', '8s']","['2d', '3s']","['8d', 'Ad']",4s,,2,2
0,Flop,0,0,0,RAISE,4,"['Ah', '8s']","['2d', '3s']","['8d', 'Ad', '7h']",4s,,4,4
0,Flop,1,0,0,DISCARD,0,"['Ah', '8s']","['2d', '3s']","['8d', 'Ad', '7h']",4s,,4,4
0,Flop,1,0,0,FOLD,0,"['Ah', '8s']","['2d', '5s']","['8d', 'Ad', '7h']",4s,3s,4,4
1,Pre-Flop,1,4,-4,CALL,0,"['4s', '3d']","['3h', '4h']","['Ah', '3s']",,,1,1
1,Pre-Flop,0,4,-4,CHECK,0,"['4s', '3d']","['3h', '4h']","['Ah', '3s']",,,2,2
1,Flop,1,4,-4,CHECK,0,"['4s', '3d']","['3h', '4h']","['Ah', '3s', '7s']",,,2,2
1,Flop,0,4,-4,CHECK,0,"['4s', '3d']","['3h', '4h']","['Ah', '3s', '7s']",,,2,2
1,Turn,1,4,-4,CHECK,0,"['4s', '3d']","['3h', '4h']","['Ah', '3s', '7s', '8d']",,,2,2
1,Turn,0,4,-4,CHECK,0,"['4s', '3d']","['3h', '4h']","['Ah', '3s', '7s', '8d']",,,2,2
1,River,1,4,-4,CHECK,0,"['4s', '3d']","['3h', '4h']","['Ah', '3s', '7s', '8d', '5s']",,,2,2
1,River,0,4,-4,CHECK,0,"['4s', '3d']","['3h', '4h']","['Ah', '3s', '7s', '8d', '5s']",,,2,2
2,Pre-Flop,0,4,-4,DISCARD,0,"['4d', '7s']","['As', '9h']","['6s', '3h']",,,1,1
2,Pre-Flop,0,4,-4,FOLD,0,"['5d', '7s']","['As', '9h']","['6s', '3h']",4d,,1,1
3,Pre-Flop,1,3,-3,CALL,0,"['4d', '3h']","['2d', '6d']","['2s', '9h']",,,1,1
3,Pre-Flop,0,3,-3,CHECK,0,"['4d', '3h']","['2d', '6d']","['2s', '9h']",,,2,2
3,Flop,1,3,-3,CHECK,0,"['4d', '3h']","['2d', '6d']","['2s', '9h', '9s']",,,2,2
3,Flop,0,3,-3,CHECK,0,"['4d', '3h']","['2d', '6d']","['2s', '9h', '9s']",,,2,2
3,Turn,1,3,-3,RAISE,6,"['4d', '3h']","['2d', '6d']","['2s', '9h', '9s', '9d']",,,2,2
3,Turn,0,3,-3,FOLD,0,"['4d', '3h']","['2d', '6d']","['2s', '9h', '9s', '9d']",,,2,2
4,Pre-Flop,0,1,-1,DISCARD,0,"['8d', '5s']","['3h', '5d']","['2h', '5h']",,,1,1
4,Pre-Flop,0,1,-1,FOLD,0,"['8d', '3d']","['3h', '5d']","['2h', '5h']",5s,,1,1
5,Pre-Flop,1,0,0,CALL,0,"['7d', '9d']","['2h', '9s']","['4d', '8h']",,,1,1
5,Pre-Flop,0,0,0,RAISE,2,"['7d', '9d']","['2h', '9s']","['4d', '8h']",,,2,2
5,Pre-Flop,1,0,0,CALL,0,"['7d', '9d']","['2h', '9s']","['4d', '8h']",,,2,2
5,Flop,1,0,0,DISCARD,0,"['7d', '9d']","['2h', '9s']","['4d', '8h', '5s']",,,4,4
5,Flop,1,0,0,CHECK,0,"['7d', '9d']","['Ah', '9s']","['4d', '8h', '5s']",,2h,4,4
5,Flop,0,0,0,CHECK,0,"['7d', '9d']","['Ah', '9s']","['4d', '8h', '5s']",,2h,4,4
5,Turn,1,0,0,RAISE,15,"['7d', '9d']","['Ah', '9s']","['4d', '8h', '5s', '9h']",,2h,4,4
5,Turn,0,0,0,CALL,0,"['7d', '9d']","['Ah', '9s']","['4d', '8h', '5s', '9h']",,2h,4,4
5,River,1,0,0,CHECK,0,"['7d', '9d']","['Ah', '9s']","['4d', '8h', '5s', '9h', '3h']",,2h,19,19
5,River,0,0,0,CHECK,0,"['7d', '9d']","['Ah', '9s']","['4d', '8h', '5s', '9h', '3h']",,2h,19,19
6,Pre-Flop,0,-19,19,DISCARD,0,"['6s', '4d']","['9s', '9h']","['4h', 'Ad']",,,1,1
6,Pre-Flop,0,-19,19,RAISE,2,"['6s', '8s']","['9s', '9h']","['4h', 'Ad']",4d,,1,1
6,Pre-Flop,1,-19,19,RAISE,15,"['6s', '8s']","['9s', '9h']","['4h', 'Ad']",4d,,2,2
6,Pre-Flop,0,-19,19,RAISE,19,"['6s', '8s']","['9s', '9h']","['4h', 'Ad']",4d,,4,4
6,Pre-Flop,1,-19,19,RAISE,62,"['6s', '8s']","['9s', '9h']","['4h', 'Ad']",4d,,19,19
6,Pre-Flop,0,-19,19,CALL,0,"['6s', '8s']","['9s', '9h']","['4h', 'Ad']",4d,,38,38
6,Flop,0,-19,19,CHECK,0,"['6s', '8s']","['9s', '9h']","['4h', 'Ad', '7h']",4d,,100,100
6,Flop,1,-19,19,CHECK,0,"['6s', '8s']","['9s', '9h']","['4h', 'Ad', '7h']",4d,,100,100
6,Turn,0,-19,19,CHECK,0,"['6s', '8s']","['9s', '9h']","['4h', 'Ad', '7h', '7s']",4d,,100,100
6,Turn,1,-19,19,CHECK,0,"['6s', '8s']","['9s', '9h']","['4h', 'Ad', '7h', '7s']",4d,,100,100
6,River,0,-19,19,CHECK,0,"['6s', '8s']","['9s', '9h']","['4h', 'Ad', '7h', '7s', '6d']",4d,,100,100
6,River,1,-19,19,CHECK,0,"['6s', '8s']","['9s', '9h']","['4h', 'Ad', '7h', '7s', '6d']",4d,,100,100
7,Pre-Flop,1,-119,119,RAISE,3,"['9h', '5h']","['As', '8d']","['2d', '2s']",,,1,1
7,Pre-Flop,0,-119,119,CALL,0,"['9h', '5h']","['As', '8d']","['2d', '2s']",,,2,2
7,Flop,1,-119,119,CHECK,0,"['9h', '5h']","['As', '8d']","['2d', '2s', '4d']",,,5,5
7,Flop,0,-119,119,CHECK,0,"['9h', '5h']","['As', '8d']","['2d', '2s', '4d']",,,5,5
7,Turn,1,-119,119,CHECK,0,"['9h', '5h']","['As', '8d']","['2d', '2s', '4d', '3d']",,,5,5
7,Turn,0,-119,119,CHECK,0,"['9h', '5h']","['As', '8d']","['2d', '2s', '4d', '3d']",,,5,5
7,River,1,-119,119,CHECK,0,"['9h', '5h']","['As', '8d']","['2d', '2s', '4d', '3d', '3h']",,,5,5
7,River,0,-119,119,CHECK,0,"['9h', '5h']","['As', '8d']","['2d', '2s', '4d', '3d', '3h']",,,5,5
8,Pre-Flop,0,-124,124,DISCARD,0,"['3s', 'As']","['6s', '3h']","['2s', '5h']",,,1,1
8,Pre-Flop,0,-124,124,CALL,0,"['7d', 'As']","['6s', '3h']","['2s', '5h']",3s,,1,1
8,Pre-Flop,1,-124,124,CHECK,0,"['7d', 'As']","['6s', '3h']","['2s', '5h']",3s,,2,2
8,Flop,0,-124,124,CHECK,0,"['7d', 'As']","['6s', '3h']","['2s', '5h', '2h']",3s,,2,2
8,Flop,1,-124,124,CHECK,0,"['7d', 'As']","['6s', '3h']","['2s', '5h', '2h']",3s,,2,2
8,Turn,0,-124,124,CHECK,0,"['7d', 'As']","['6s', '3h']","['2s', '5h', '2h', 'Ah']",3s,,2,2
8,Turn,1,-124,124,CHECK,0,"['7d', 'As']","['6s', '3h']","['2s', '5h', '2h', 'Ah']",3s,,2,2
