# Team 0: Quantum Bluff, Team 1: Flushed Faces
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
0,Pre-Flop,0,0,0,RAISE,2,"['5h', 'As']","['3s', '2s']","['8d', '3d']",,,1,1
0,Pre-Flop,1,0,0,CALL,0,"['5h', 'As']","['3s', '2s']","['8d', '3d']",,,2,2
0,Flop,0,0,0,DISCARD,0,"['5h', 'As']","['3s', '2s']","['8d', '3d', '5d']",,,4,4
0,Flop,0,0,0,CHECK,0,"['5h', '9h']","['3s', '2s']","['8d', '3d', '5d']",As,,4,4
0,Flop,1,0,0,DISCARD,0,"['5h', '9h']","['3s', '2s']","['8d', '3d', '5d']",As,,4,4
0,Flop,1,0,0,CHECK,0,"['5h', '9h']","['3s', '7h']","['8d', '3d', '5d']",As,2s,4,4
0,Turn,0,0,0,CHECK,0,"['5h', '9h']","['3s', '7h']","['8d', '3d', '5d', '7d']",As,2s,4,4
0,Turn,1,0,0,CHECK,0,"['5h', '9h']","['3s', '7h']","['8d', '3d', '5d', '7d']",As,2s,4,4
0,River,0,0,0,CHECK,0,"['5h', '9h']","['3s', '7h']","['8d', '3d', '5d', '7d', '4d']",As,2s,4,4
0,River,1,0,0,CHECK,0,"['5h', '9h']","['3s', '7h']","['8d', '3d', '5d', '7d', '4d']",As,2s,4,4
1,Pre-Flop,1,0,0,RAISE,3,"['3h', '9d']","['6d', '8d']","['2d', '5d']",,,1,1
1,Pre-Flop,0,0,0,CALL,0,"['3h', '9d']","['6d', '8d']","['2d', '5d']",,,2,2
1,Flop,1,0,0,RAISE,24,"['3h', '9d']","['6d', '8d']","['2d', '5d', '7h']",,,5,5
1,Flop,0,0,0,DISCARD,0,"['3h', '9d']","['6d', '8d']","['2d', '5d', '7h']",,,5,5
1,Flop,0,0,0,FOLD,0,"['4h', '9d']","['6d', '8d']","['2d', '5d', '7h']",3h,,5,5
2,Pre-Flop,0,-5,5,RAISE,2,"['9d', '3h']","['4s', '2s']","['4h', '3s']",,,1,1
2,Pre-Flop,1,-5,5,CALL,0,"['9d', '3h']","['4s', '2s']","['4h', '3s']",,,2,2
2,Flop,0,-5,5,CHECK,0,"['9d', '3h']","['4s', '2s']","['4h', '3s', '8h']",,,4,4
2,Flop,1,-5,5,CHECK,0,"['9d', '3h']","['4s', '2s']","['4h', '3s', '8h']",,,4,4
2,Turn,0,-5,5,CHECK,0,"['9d', '3h']","['4s', '2s']","['4h', '3s', '8h', '8s']",,,4,4
2,Turn,1,-5,5,RAISE,14,"['9d', '3h']","['4s', '2s']","['4h', '3s', '8h', '8s']",,,4,4
2,Turn,0,-5,5,FOLD,0,"['9d', '3h']","['4s', '2s']","['4h', '3s', '8h', '8s']",,,4,4
3,Pre-Flop,1,-9,9,RAISE,3,"['5s', '8d']","['6d', 'Ah']","['6s', '5d']",,,1,1
3,Pre-Flop,0,-9,9,CALL,0,"['5s', '8d']","['6d', 'Ah']","['6s', '5d']",,,2,2
3,Flop,1,-9,9,CHECK,0,"['5s', '8d']","['6d', 'Ah']","['6s', '5d', '2h']",,,5,5
3,Flop,0,-9,9,CHECK,0,"['5s', '8d']","['6d', 'Ah']","['6s', '5d', '2h']",,,5,5
3,Turn,1,-9,9,CHECK,0,"['5s', '8d']","['6d', 'Ah']","['6s', '5d', '2h', '4d']",,,5,5
3,Turn,0,-9,9,CHECK,0,"['5s', '8d']","['6d', 'Ah']","['6s', '5d', '2h', '4d']",,,5,5
3,River,1,-9,9,CHECK,0,"['5s', '8d']","['6d', 'Ah']","['6s', '5d', '2h', '4d', '7s']",,,5,5
3,River,0,-9,9,RAISE,71,"['5s', '8d']","['6d', 'Ah']","['6s', '5d', '2h', '4d', '7s']",,,5,5
3,River,1,-9,9,FOLD,0,"['5s', '8d']","['6d', 'Ah']","['6s', '5d', '2h', '4d', '7s']",,,5,5
4,Pre-Flop,0,-4,4,RAISE,2,"['8h', '8d']","['2h', '4d']","['3d', '4h']",,,1,1
4,Pre-Flop,1,-4,4,CALL,0,"['8h', '8d']","['2h', '4d']","['3d', '4h']",,,2,2
4,Flop,0,-4,4,CHECK,0,"['8h', '8d']","['2h', '4d']","['3d', '4h', 'Ah']",,,4,4
4,Flop,1,-4,4,CHECK,0,"['8h', '8d']","['2h', '4d']","['3d', '4h', 'Ah']",,,4,4
4,Turn,0,-4,4,RAISE,4,"['8h', '8d']","['2h', '4d']","['3d', '4h', 'Ah', '6h']",,,4,4
4,Turn,1,-4,4,CALL,0,"['8h', '8d']","['2h', '4d']","['3d', '4h', 'Ah', '6h']",,,4,4
4,River,0,-4,4,CHECK,0,"['8h', '8d']","['2h', '4d']","['3d', '4h', 'Ah', '6h', '9s']",,,8,8
4,River,1,-4,4,CHECK,0,"['8h', '8d']","['2h', '4d']","['3d', '4h', 'Ah', '6h', '9s']",,,8,8
5,Pre-Flop,1,4,-4,CALL,0,"['9s', 'Ah']","['Ad', '3d']","['4d', '6h']",,,1,1
